,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,home,2022-02-08,ATL vs. IND,40,36,30,27,22,28,25,37
2,ext,2022-02-06,ATL @ DAL,26,24,26,18,29,25,26,23
3,ext,2022-02-04,ATL @ TOR,28,34,27,28,39,21,36,29
4,home,2022-02-03,ATL vs. PHX,32,32,36,24,30,31,30,24
5,home,2022-01-31,ATL vs. TOR,24,33,15,28,25,23,32,26
6,home,2022-01-30,ATL vs. LAL,34,28,29,38,33,38,30,20
7,home,2022-01-28,ATL vs. BOS,32,30,18,28,20,27,30,15
8,home,2022-01-26,ATL vs. SAC,21,46,27,27,33,17,24,30
9,ext,2022-01-23,ATL @ CHA,30,25,30,28,22,22,22,25
10,home,2022-01-21,ATL vs. MIA,31,29,28,22,30,21,23,34
11,home,2022-01-19,ATL vs. MIN,26,35,45,28,42,31,20,29
12,home,2022-01-17,ATL vs. MIL,17,33,33,38,26,36,26,26
13,home,2022-01-15,ATL vs. NYK,28,23,26,31,31,34,20,32
14,ext,2022-01-14,ATL @ MIA,30,40,29,19,40,24,30,30
15,home,2022-01-12,ATL vs. MIA,27,24,16,24,21,35,30,29
16,ext,2022-01-09,ATL @ LAC,23,30,20,20,31,28,27,20
17,ext,2022-01-07,ATL @ LAL,28,33,26,31,34,30,37,33
18,ext,2022-01-05,ATL @ SAC,33,21,24,30,24,21,30,27
19,ext,2022-01-03,ATL @ POR,32,33,40,26,36,34,30,36
20,ext,2021-12-31,ATL @ CLE,25,26,41,30,32,34,22,32
21,ext,2021-12-29,ATL @ CHI,36,17,34,30,38,36,30,27
22,home,2021-12-27,ATL vs. CHI,36,27,24,31,31,38,31,32
23,ext,2021-12-25,ATL @ NYK,21,30,15,21,30,31,20,20
24,ext,2021-12-23,ATL @ PHI,32,19,28,19,18,33,24,21
25,home,2021-12-22,ATL vs. ORL,20,17,24,37,22,25,23,34
26,home,2021-12-17,ATL vs. DEN,26,28,33,28,29,43,34,27
27,ext,2021-12-15,ATL @ ORL,27,37,29,18,25,25,23,26
28,home,2021-12-13,ATL vs. HOU,38,31,32,25,28,30,30,44
29,home,2021-12-10,ATL vs. BKN,26,29,36,14,26,26,37,24
30,ext,2021-12-06,ATL @ MIN,33,28,35,25,24,24,30,32
31,home,2021-12-05,ATL vs. CHA,30,31,31,35,30,38,31,31
32,home,2021-12-03,ATL vs. PHI,22,30,35,9,31,13,34,20
33,ext,2021-12-01,ATL @ IND,38,27,22,27,29,28,31,23
34,home,2021-11-27,ATL vs. NYK,27,23,24,16,28,23,34,16
35,ext,2021-11-26,ATL @ MEM,29,33,43,27,21,27,18,34
36,ext,2021-11-24,ATL @ SAS,27,40,38,21,27,31,25,23
37,home,2021-11-22,ATL vs. OKC,32,34,27,20,27,33,11,30
38,home,2021-11-20,ATL vs. CHA,25,35,29,26,21,27,29,28
39,home,2021-11-17,ATL vs. BOS,30,28,33,19,29,20,28,22
40,home,2021-11-15,ATL vs. ORL,30,30,33,36,31,25,28,27
41,home,2021-11-14,ATL vs. MIL,32,26,31,31,24,20,33,23
42,ext,2021-11-12,ATL @ DEN,25,21,23,27,32,17,30,26
43,ext,2021-11-09,ATL @ UTA,28,22,30,18,30,32,33,15
44,ext,2021-11-08,ATL @ GSW,34,31,20,28,32,29,41,25
45,ext,2021-11-06,ATL @ PHX,26,32,Not Found,19,25,34,Not Found,35
46,home,2021-11-04,ATL vs. UTA,16,24,34,24,15,27,36,41
47,ext,2021-11-03,ATL @ BKN,28,31,20,29,35,26,34,22
48,home,2021-11-01,ATL vs. WAS,34,29,21,34,23,37,17,34
49,ext,2021-10-30,ATL @ PHI,15,31,23,25,28,32,29,33
50,ext,2021-10-28,ATL @ WAS,32,23,31,25,33,31,36,22
51,ext,2021-10-27,ATL @ NOP,19,34,31,18,33,26,18,22
52,home,2021-10-25,ATL vs. DET,28,34,33,27,18,36,25,25
53,ext,2021-10-23,ATL @ CLE,27,28,17,23,24,30,31,18
54,home,2021-10-21,ATL vs. DAL,22,29,35,27,20,24,20,23
55,home,2021-10-14,ATL vs. MIA,33,34,30,33,17,26,29,20
56,ext,2021-10-09,ATL @ MEM,21,16,27,27,22,18,24,23
57,home,2021-10-06,ATL vs. CLE,19,22,27,28,21,25,22,31
58,ext,2021-10-04,ATL @ MIA,32,26,26,17,33,41,25,26
59,ext,2021-08-16,ATL @ NYK,27,15,20,23,27,26,20,31
60,ext,2021-08-14,ATL @ MIA,26,26,19,23,24,27,21,18
61,home,2021-08-12,ATL vs. PHI,23,20,21,22,14,21,29,22
62,ext,2021-08-10,ATL @ IND,19,26,24,15,21,16,29,20
