,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,ext,2022-02-08,BOS @ BKN,35,34,28,29,16,27,28,20
2,ext,2022-02-06,BOS @ ORL,21,28,29,38,15,24,22,22
3,ext,2022-02-04,BOS @ DET,28,18,32,24,16,15,25,37
4,home,2022-02-02,BOS vs. CHA,27,27,34,25,22,31,25,29
5,home,2022-01-31,BOS vs. MIA,27,27,40,28,14,31,25,22
6,ext,2022-01-29,BOS @ NOP,27,25,26,29,15,19,36,27
7,ext,2022-01-28,BOS @ ATL,20,27,30,15,32,30,18,28
8,home,2022-01-25,BOS vs. SAC,38,25,34,31,13,17,25,20
9,ext,2022-01-23,BOS @ WAS,31,29,31,25,25,20,24,18
10,home,2022-01-21,BOS vs. POR,25,33,24,23,30,24,29,26
11,home,2022-01-19,BOS vs. CHA,27,21,26,28,25,31,30,25
12,home,2022-01-17,BOS vs. NOP,18,21,32,33,29,17,23,23
13,home,2022-01-15,BOS vs. CHI,32,22,30,30,22,27,34,29
14,ext,2022-01-14,BOS @ PHI,14,21,31,33,32,23,28,28
15,ext,2022-01-12,BOS @ IND,35,19,33,32,25,24,22,29
16,home,2022-01-10,BOS vs. IND,23,19,26,21,17,22,21,29
17,home,2022-01-08,BOS vs. NYK,21,23,32,23,26,16,18,15
18,ext,2022-01-06,BOS @ NYK,25,38,21,21,18,29,30,31
19,home,2022-01-05,BOS vs. SAS,30,26,21,20,30,28,22,19
20,home,2022-01-02,BOS vs. ORL,28,17,20,35,19,23,35,23
21,home,2021-12-31,BOS vs. PHX,32,35,33,23,20,21,36,31
22,home,2021-12-29,BOS vs. LAC,Not Found,19,23,19,Not Found,21,22,22
23,ext,2021-12-27,BOS @ MIN,29,27,23,24,23,22,29,34
24,ext,2021-12-25,BOS @ MIL,35,27,32,Not Found,22,25,46,Not Found
25,home,2021-12-22,BOS vs. CLE,31,32,22,26,26,22,25,28
26,home,2021-12-20,BOS vs. PHI,20,29,31,23,28,23,24,33
27,home,2021-12-18,BOS vs. NYK,32,30,24,28,18,29,41,19
28,home,2021-12-17,BOS vs. GSW,26,28,27,26,34,34,14,29
29,home,2021-12-13,BOS vs. MIL,21,30,34,32,30,20,24,29
30,ext,2021-12-10,BOS @ PHX,24,15,30,21,25,32,27,27
31,ext,2021-12-08,BOS @ LAC,28,23,27,33,24,39,27,27
32,ext,2021-12-07,BOS @ LAL,33,Not Found,20,Not Found,31,Not Found,31,Not Found
33,ext,2021-12-04,BOS @ POR,38,26,39,42,23,37,26,33
34,ext,2021-12-03,BOS @ UTA,25,31,41,33,38,21,41,37
35,home,2021-12-01,BOS vs. PHI,21,23,20,24,20,20,23,24
36,ext,2021-11-28,BOS @ TOR,27,27,26,29,26,25,25,21
37,ext,2021-11-26,BOS @ SAS,14,23,26,25,30,22,18,26
38,home,2021-11-24,BOS vs. BKN,22,27,27,Not Found,29,33,35,Not Found
39,home,2021-11-22,BOS vs. HOU,22,30,34,22,21,26,16,27
40,home,2021-11-20,BOS vs. OKC,30,28,31,22,23,22,29,31
41,home,2021-11-19,BOS vs. LAL,30,Not Found,33,37,38,Not Found,21,26
42,ext,2021-11-17,BOS @ ATL,29,20,28,22,30,28,33,19
43,ext,2021-11-15,BOS @ CLE,19,18,28,33,22,17,25,28
44,ext,2021-11-13,BOS @ CLE,20,32,22,15,9,29,24,29
45,home,2021-11-12,BOS vs. MIL,30,Not Found,37,Not Found,30,Not Found,26,Not Found
46,home,2021-11-10,BOS vs. TOR,33,29,18,24,25,21,22,20
47,ext,2021-11-06,BOS @ DAL,15,25,32,32,29,28,22,28
48,ext,2021-11-04,BOS @ MIA,18,33,24,20,24,9,24,21
49,ext,2021-11-03,BOS @ ORL,26,18,31,17,28,18,10,23
50,home,2021-11-01,BOS vs. CHI,35,32,36,11,34,25,30,39
51,ext,2021-10-30,BOS @ WAS,20,27,26,30,25,28,26,27
52,home,2021-10-27,BOS vs. WAS,19,33,34,21,24,38,25,29
53,ext,2021-10-25,BOS @ CHA,33,35,26,28,33,33,31,25
54,ext,2021-10-24,BOS @ HOU,22,31,36,18,30,21,21,25
55,home,2021-10-22,BOS vs. TOR,23,24,17,19,23,28,33,31
56,ext,2021-10-20,BOS @ NYK,35,23,24,34,29,25,32,30
57,ext,2021-10-15,BOS @ MIA,34,21,26,19,28,31,28,34
58,ext,2021-10-13,BOS @ ORL,26,30,23,23,24,30,19,30
59,home,2021-10-09,BOS vs. TOR,31,26,28,28,16,43,27,25
60,home,2021-10-04,BOS vs. ORL,21,29,21,27,20,32,24,21
61,home,2021-08-17,BOS vs. SAC,20,16,13,18,24,20,26,30
62,home,2021-08-14,BOS vs. PHI,28,20,30,22,21,18,14,27
63,home,2021-08-12,BOS vs. ORL,25,25,26,32,16,15,11,29
64,ext,2021-08-10,BOS @ DEN,31,35,24,17,23,21,18,12
