,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,ext,2022-02-10,BKN @ WAS,27,32,19,34,24,31,31,27
2,home,2022-02-08,BKN vs. BOS,16,27,28,20,35,34,28,29
3,ext,2022-02-06,BKN @ DEN,40,35,16,13,39,37,31,17
4,ext,2022-02-04,BKN @ UTA,24,23,26,29,33,35,37,20
5,ext,2022-02-02,BKN @ SAC,32,30,24,15,23,31,29,29
6,ext,2022-02-01,BKN @ PHX,29,29,24,29,39,26,26,30
7,ext,2022-01-29,BKN @ GSW,20,27,29,30,31,23,24,32
8,home,2022-01-26,BKN vs. DEN,28,37,26,27,29,25,42,28
9,home,2022-01-25,BKN vs. LAL,25,28,25,18,33,31,30,14
10,ext,2022-01-23,BKN @ MIN,36,26,33,30,37,35,30,34
11,ext,2022-01-21,BKN @ SAS,24,26,29,38,26,25,23,28
12,ext,2022-01-19,BKN @ WAS,33,41,23,22,28,34,24,32
13,ext,2022-01-17,BKN @ CLE,31,28,29,19,30,35,22,27
14,home,2022-01-15,BKN vs. NOP,32,37,26,25,22,19,36,28
15,home,2022-01-13,BKN vs. OKC,26,25,32,26,38,32,30,32
16,ext,2022-01-12,BKN @ CHI,38,24,39,37,31,29,19,33
17,ext,2022-01-10,BKN @ POR,26,36,19,27,33,22,32,27
18,home,2022-01-09,BKN vs. SAS,32,28,31,22,32,19,38,24
19,home,2022-01-07,BKN vs. MIL,21,28,31,29,29,31,38,23
20,ext,2022-01-05,BKN @ IND,32,28,34,37,37,39,28,20
21,home,2022-01-03,BKN vs. MEM,24,23,26,31,29,27,40,22
22,home,2022-01-01,BKN vs. LAC,30,23,34,29,29,20,31,40
23,home,2021-12-30,BKN vs. PHI,31,23,28,20,39,16,29,26
24,ext,2021-12-27,BKN @ LAC,38,33,30,23,33,22,26,27
25,ext,2021-12-25,BKN @ LAL,38,28,36,20,23,39,20,33
26,home,2021-12-18,BKN vs. ORL,17,27,22,27,26,24,24,26
27,home,2021-12-16,BKN vs. PHI,39,27,19,29,25,23,31,26
28,home,2021-12-14,BKN vs. TOR,33,33,25,29,32,24,47,20
29,ext,2021-12-12,BKN @ DET,31,29,26,30,24,33,34,13
30,ext,2021-12-10,BKN @ ATL,26,26,37,24,26,29,36,14
31,ext,2021-12-08,BKN @ HOU,23,29,21,31,30,37,23,24
32,ext,2021-12-07,BKN @ DAL,21,29,25,27,27,35,24,13
33,home,2021-12-04,BKN vs. CHI,34,22,26,25,28,24,27,32
34,home,2021-12-03,BKN vs. MIN,27,32,27,24,34,21,30,20
35,home,2021-11-30,BKN vs. NYK,33,27,28,24,28,33,23,26
36,home,2021-11-27,BKN vs. PHX,20,26,26,35,34,22,36,23
37,ext,2021-11-24,BKN @ BOS,29,33,35,26,22,27,27,28
38,ext,2021-11-22,BKN @ CLE,24,28,32,33,27,36,19,30
39,home,2021-11-19,BKN vs. ORL,25,28,37,25,41,21,21,30
40,home,2021-11-17,BKN vs. CLE,31,31,19,28,25,16,32,26
41,home,2021-11-16,BKN vs. GSW,34,24,18,23,31,32,38,19
42,ext,2021-11-14,BKN @ OKC,30,31,29,30,25,23,26,22
43,ext,2021-11-12,BKN @ NOP,33,33,29,25,25,34,24,29
44,ext,2021-11-10,BKN @ ORL,28,37,29,29,23,30,22,15
45,ext,2021-11-08,BKN @ CHI,27,30,21,17,35,16,25,42
46,ext,2021-11-07,BKN @ TOR,29,24,35,28,26,34,17,26
47,ext,2021-11-05,BKN @ DET,28,11,39,18,23,16,23,28
48,home,2021-11-03,BKN vs. ATL,35,26,34,22,28,31,20,29
49,home,2021-10-31,BKN vs. DET,28,36,32,21,25,24,25,17
50,home,2021-10-29,BKN vs. IND,26,32,27,20,38,17,19,24
51,home,2021-10-27,BKN vs. MIA,22,29,23,19,29,20,32,25
52,home,2021-10-25,BKN vs. WAS,38,21,23,22,20,22,22,26
53,home,2021-10-24,BKN vs. CHA,31,27,20,17,27,23,29,32
54,ext,2021-10-22,BKN @ PHI,28,27,30,29,34,28,29,18
55,ext,2021-10-19,BKN @ MIL,25,34,26,19,37,29,31,30
56,home,2021-10-14,BKN vs. MIN,27,30,27,23,30,19,26,26
57,ext,2021-10-11,BKN @ PHI,25,24,24,31,37,31,32,15
58,home,2021-10-08,BKN vs. MIL,32,24,33,30,26,34,28,27
59,ext,2021-10-03,BKN @ LAL,25,32,27,39,19,30,32,16
60,ext,2021-08-17,BKN @ TOR,17,8,22,25,22,8,25,31
61,ext,2021-08-15,BKN @ SAS,20,28,29,27,30,23,23,24
62,home,2021-08-12,BKN vs. WAS,18,18,15,23,15,19,16,19
63,home,2021-08-11,BKN vs. MIL,24,24,25,24,14,22,23,20
