,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,ext,2022-02-09,CHI @ CHA,28,30,31,32,29,16,31,33
2,home,2022-02-07,CHI vs. PHX,29,20,34,41,36,31,35,25
3,home,2022-02-06,CHI vs. PHI,26,26,29,27,34,27,28,30
4,ext,2022-02-04,CHI @ IND,40,25,28,29,33,29,28,25
5,ext,2022-02-03,CHI @ TOR,24,26,31,33,26,28,33,27
6,home,2022-02-01,CHI vs. ORL,34,36,33,23,33,30,31,21
7,home,2022-01-30,CHI vs. POR,29,44,31,26,35,30,27,24
8,ext,2022-01-28,CHI @ SAS,35,33,25,31,29,34,35,33
9,home,2022-01-26,CHI vs. TOR,31,37,24,20,27,23,32,23
10,ext,2022-01-24,CHI @ OKC,35,23,34,22,27,21,30,32
11,ext,2022-01-23,CHI @ ORL,19,18,37,21,23,30,32,29
12,ext,2022-01-21,CHI @ MIL,20,24,25,21,24,21,23,28
13,home,2022-01-19,CHI vs. CLE,24,34,29,32,29,20,29,26
14,ext,2022-01-17,CHI @ MEM,20,25,27,34,20,38,36,27
15,ext,2022-01-15,CHI @ BOS,22,27,34,29,32,22,30,30
16,home,2022-01-14,CHI vs. GSW,28,19,25,24,37,41,34,26
17,home,2022-01-12,CHI vs. BKN,31,29,19,33,38,24,39,37
18,home,2022-01-11,CHI vs. DET,28,33,36,36,27,25,16,21
19,ext,2022-01-09,CHI @ DAL,32,23,24,20,22,32,29,30
20,home,2022-01-07,CHI vs. WAS,37,36,34,25,32,34,29,27
21,home,2022-01-03,CHI vs. ORL,15,30,24,33,21,19,26,32
22,ext,2022-01-01,CHI @ WAS,25,27,34,34,32,32,24,31
23,ext,2021-12-31,CHI @ IND,25,29,28,26,23,27,29,27
24,home,2021-12-29,CHI vs. ATL,38,36,30,27,36,17,34,30
25,ext,2021-12-27,CHI @ ATL,31,38,31,32,36,27,24,31
26,home,2021-12-26,CHI vs. IND,33,30,24,26,27,21,31,26
27,home,2021-12-20,CHI vs. HOU,35,38,32,28,26,28,31,35
28,home,2021-12-19,CHI vs. LAL,28,33,22,32,22,39,25,26
29,ext,2021-12-11,CHI @ MIA,25,27,18,22,39,26,21,32
30,ext,2021-12-08,CHI @ CLE,24,19,23,26,29,23,30,33
31,home,2021-12-06,CHI vs. DEN,18,28,31,32,27,22,22,29
32,ext,2021-12-04,CHI @ BKN,28,24,27,32,34,22,26,25
33,ext,2021-12-02,CHI @ NYK,37,32,20,30,19,32,32,32
34,home,2021-11-29,CHI vs. CHA,30,39,38,29,31,27,27,34
35,home,2021-11-27,CHI vs. MIA,20,26,28,30,27,22,23,35
36,ext,2021-11-26,CHI @ ORL,27,28,35,33,27,19,23,19
37,ext,2021-11-24,CHI @ HOU,32,32,18,31,30,25,35,28
38,home,2021-11-22,CHI vs. IND,16,30,15,16,31,36,24,20
39,home,2021-11-21,CHI vs. NYK,25,26,21,37,20,25,31,29
40,ext,2021-11-19,CHI @ DEN,30,23,35,26,30,22,26,30
41,ext,2021-11-17,CHI @ POR,33,30,22,22,24,24,33,31
42,ext,2021-11-15,CHI @ LAL,33,24,37,27,25,23,25,30
43,ext,2021-11-14,CHI @ LAC,30,24,23,23,17,28,26,19
44,ext,2021-11-12,CHI @ GSW,29,16,17,31,23,28,35,33
45,home,2021-11-10,CHI vs. DAL,32,29,34,22,33,21,26,27
46,home,2021-11-08,CHI vs. BKN,35,16,25,42,27,30,21,17
47,home,2021-11-06,CHI vs. PHI,21,26,30,28,22,35,27,30
48,ext,2021-11-03,CHI @ PHI,19,25,28,28,29,29,26,19
49,ext,2021-11-01,CHI @ BOS,34,25,30,39,35,32,36,11
50,home,2021-10-30,CHI vs. UTA,25,29,25,28,24,33,15,27
51,home,2021-10-28,CHI vs. NYK,25,26,22,30,27,28,27,22
52,ext,2021-10-25,CHI @ TOR,24,37,31,19,24,27,29,28
53,home,2021-10-23,CHI vs. DET,31,23,25,21,28,15,11,28
54,home,2021-10-22,CHI vs. NOP,28,37,27,36,17,30,28,37
55,ext,2021-10-20,CHI @ DET,14,26,31,23,20,24,25,19
56,home,2021-10-15,CHI vs. MEM,28,27,27,36,35,18,28,24
57,ext,2021-10-10,CHI @ CLE,28,24,27,23,27,25,23,26
58,home,2021-10-08,CHI vs. NOP,30,36,33,25,17,21,19,28
59,home,2021-10-05,CHI vs. CLE,33,36,44,18,27,21,24,23
60,home,2021-08-16,CHI vs. CHA,17,28,31,23,11,10,18,20
61,home,2021-08-15,CHI vs. MEM,19,22,31,19,24,29,16,27
62,ext,2021-08-12,CHI @ MIN,14,18,15,12,15,15,28,20
63,ext,2021-08-10,CHI @ SAS,14,23,29,26,26,26,17,20
