,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,home,2022-02-09,CLE vs. SAS,29,28,27,21,30,18,25,19
2,home,2022-02-06,CLE vs. IND,12,24,25,37,27,20,21,20
3,ext,2022-02-04,CLE @ CHA,22,30,24,26,31,15,19,36
4,ext,2022-02-02,CLE @ HOU,31,22,30,21,32,32,26,25
5,home,2022-01-31,CLE vs. NOP,17,21,22,33,19,20,27,24
6,ext,2022-01-30,CLE @ DET,29,26,33,17,24,25,35,31
7,home,2022-01-26,CLE vs. MIL,26,39,30,20,35,22,20,22
8,home,2022-01-24,CLE vs. NYK,28,22,26,19,23,27,19,24
9,home,2022-01-22,CLE vs. OKC,24,23,31,16,22,23,23,19
10,ext,2022-01-19,CLE @ CHI,29,20,29,26,24,34,29,32
11,home,2022-01-17,CLE vs. BKN,30,35,22,27,31,28,29,19
12,ext,2022-01-15,CLE @ OKC,24,22,37,24,32,24,29,17
13,ext,2022-01-14,CLE @ SAS,35,29,23,33,26,33,27,23
14,ext,2022-01-12,CLE @ UTA,27,31,30,23,24,28,16,23
15,ext,2022-01-10,CLE @ SAC,28,34,22,25,22,27,30,29
16,ext,2022-01-09,CLE @ GSW,21,25,14,22,24,27,28,17
17,ext,2022-01-07,CLE @ POR,24,33,25,32,21,26,31,23
18,home,2022-01-04,CLE vs. MEM,30,25,20,31,27,30,19,34
19,home,2022-01-02,CLE vs. IND,30,28,30,23,30,26,28,20
20,home,2021-12-31,CLE vs. ATL,32,34,22,32,25,26,41,30
21,ext,2021-12-30,CLE @ WAS,30,21,21,21,31,27,33,19
22,ext,2021-12-28,CLE @ NOP,39,19,25,21,20,28,28,32
23,home,2021-12-26,CLE vs. TOR,35,37,46,26,34,21,23,21
24,ext,2021-12-22,CLE @ BOS,26,22,25,28,31,32,22,26
25,ext,2021-12-18,CLE @ MIL,34,28,31,26,20,31,18,21
26,home,2021-12-15,CLE vs. HOU,35,36,33,24,16,22,25,26
27,home,2021-12-13,CLE vs. MIA,23,32,23,27,25,19,29,21
28,home,2021-12-11,CLE vs. SAC,36,45,20,16,23,29,26,25
29,ext,2021-12-10,CLE @ MIN,34,31,27,31,20,24,27,35
30,home,2021-12-08,CLE vs. CHI,29,23,30,33,24,19,23,26
31,ext,2021-12-06,CLE @ MIL,24,26,28,26,24,34,32,24
32,home,2021-12-05,CLE vs. UTA,29,26,27,26,32,28,31,18
33,ext,2021-12-03,CLE @ WAS,34,32,34,17,29,17,26,29
34,ext,2021-12-01,CLE @ MIA,31,30,28,24,16,27,20,22
35,ext,2021-11-29,CLE @ DAL,30,22,35,27,23,18,24,31
36,home,2021-11-27,CLE vs. ORL,27,27,24,27,22,27,20,23
37,home,2021-11-24,CLE vs. PHX,33,33,20,29,36,25,26,33
38,home,2021-11-22,CLE vs. BKN,27,36,19,30,24,28,32,33
39,home,2021-11-18,CLE vs. GSW,29,25,27,Not Found,27,24,17,Not Found
40,ext,2021-11-17,CLE @ BKN,25,16,32,26,31,31,19,28
41,home,2021-11-15,CLE vs. BOS,22,17,25,28,19,18,28,33
42,home,2021-11-13,CLE vs. BOS,9,29,24,29,20,32,22,15
43,home,2021-11-12,CLE vs. DET,Not Found,28,22,24,Not Found,23,11,26
44,home,2021-11-10,CLE vs. WAS,22,30,25,20,24,20,24,29
45,ext,2021-11-07,CLE @ NYK,29,27,33,37,30,27,18,34
46,ext,2021-11-05,CLE @ TOR,28,23,26,28,29,28,23,21
47,home,2021-11-03,CLE vs. POR,23,37,27,20,26,27,24,27
48,ext,2021-11-01,CLE @ CHA,40,25,23,25,21,28,27,34
49,ext,2021-10-30,CLE @ PHX,31,15,19,27,24,26,28,23
50,ext,2021-10-29,CLE @ LAL,28,26,31,16,21,33,34,25
51,ext,2021-10-27,CLE @ LAC,23,24,25,20,14,26,24,15
52,ext,2021-10-25,CLE @ DEN,29,21,25,24,24,22,24,17
53,home,2021-10-23,CLE vs. ATL,24,30,31,18,27,28,17,23
54,home,2021-10-22,CLE vs. CHA,30,29,30,23,27,27,36,33
55,ext,2021-10-20,CLE @ MEM,32,29,29,31,32,41,21,38
56,ext,2021-10-15,CLE @ IND,35,25,23,27,26,21,20,27
57,home,2021-10-10,CLE vs. CHI,27,25,23,26,28,24,27,23
58,home,2021-10-08,CLE vs. IND,29,30,16,25,32,31,23,23
59,ext,2021-10-06,CLE @ ATL,21,25,22,31,19,22,27,28
60,ext,2021-10-05,CLE @ CHI,27,21,24,23,33,36,44,18
61,ext,2021-08-16,CLE @ PHX,18,25,21,26,20,15,27,23
62,ext,2021-08-14,CLE @ NYK,21,29,15,29,22,38,21,22
63,home,2021-08-13,CLE vs. NOP,17,16,18,23,13,21,25,21
64,ext,2021-08-11,CLE @ ORL,22,23,25,24,23,19,13,29
