,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,home,2022-02-10,DAL vs. LAC,36,23,30,23,28,22,31,24
2,home,2022-02-08,DAL vs. DET,36,29,33,18,26,25,20,15
3,home,2022-02-06,DAL vs. ATL,29,25,26,23,26,24,26,18
4,home,2022-02-04,DAL vs. PHI,24,29,32,22,33,30,15,20
5,home,2022-02-02,DAL vs. OKC,28,23,25,27,30,21,34,18
6,ext,2022-01-30,DAL @ ORL,34,28,29,20,23,41,27,19
7,home,2022-01-29,DAL vs. IND,34,38,32,28,23,37,20,25
8,ext,2022-01-26,DAL @ POR,40,28,30,34,25,34,23,31
9,ext,2022-01-25,DAL @ GSW,20,31,27,14,29,34,34,33
10,home,2022-01-23,DAL vs. MEM,24,24,29,27,16,18,27,30
11,home,2022-01-20,DAL vs. PHX,26,27,32,19,22,23,29,35
12,home,2022-01-19,DAL vs. TOR,27,28,28,19,31,25,22,22
13,home,2022-01-17,DAL vs. OKC,33,20,24,27,24,18,30,30
14,home,2022-01-15,DAL vs. ORL,32,23,30,23,23,20,25,24
15,ext,2022-01-14,DAL @ MEM,25,25,34,28,29,26,18,12
16,ext,2022-01-12,DAL @ NYK,21,24,21,19,30,26,28,24
17,home,2022-01-09,DAL vs. CHI,22,32,29,30,32,23,24,20
18,ext,2022-01-07,DAL @ HOU,43,37,30,20,23,37,26,20
19,home,2022-01-05,DAL vs. GSW,21,29,20,29,21,18,28,15
20,home,2022-01-03,DAL vs. DEN,24,22,23,34,20,17,26,26
21,ext,2022-01-02,DAL @ OKC,26,25,22,22,22,17,25,22
22,ext,2021-12-31,DAL @ SAC,34,28,32,18,39,17,20,20
23,ext,2021-12-29,DAL @ SAC,30,13,26,25,20,35,17,23
24,ext,2021-12-27,DAL @ POR,34,38,34,26,29,24,31,33
25,ext,2021-12-25,DAL @ UTA,34,29,27,26,25,40,25,30
26,home,2021-12-23,DAL vs. MIL,23,20,31,21,15,26,34,27
27,home,2021-12-21,DAL vs. MIN,34,27,27,26,35,15,30,24
28,ext,2021-12-19,DAL @ MIN,25,25,38,17,27,29,30,25
29,home,2021-12-15,DAL vs. LAL,23,27,23,20,33,14,26,20
30,home,2021-12-13,DAL vs. CHA,37,35,21,29,20,23,26,27
31,ext,2021-12-12,DAL @ OKC,28,28,24,23,27,19,25,13
32,ext,2021-12-10,DAL @ IND,26,28,26,13,22,34,26,24
33,ext,2021-12-08,DAL @ MEM,26,22,28,28,25,28,23,21
34,home,2021-12-07,DAL vs. BKN,27,35,24,13,21,29,25,27
35,home,2021-12-04,DAL vs. MEM,18,19,21,32,22,27,23,25
36,home,2021-12-03,DAL vs. NOP,19,29,20,23,14,30,35,28
37,ext,2021-12-01,DAL @ NOP,41,26,35,37,23,23,29,32
38,home,2021-11-29,DAL vs. CLE,23,18,24,31,30,22,35,27
39,home,2021-11-27,DAL vs. WAS,36,33,24,21,41,20,30,29
40,ext,2021-11-23,DAL @ LAC,21,21,38,23,26,22,28,27
41,ext,2021-11-21,DAL @ LAC,22,25,15,29,19,27,25,26
42,ext,2021-11-19,DAL @ PHX,24,27,33,20,27,28,24,33
43,ext,2021-11-17,DAL @ PHX,22,24,27,25,25,20,23,37
44,home,2021-11-15,DAL vs. DEN,35,14,30,32,32,26,25,18
45,ext,2021-11-12,DAL @ SAS,31,37,37,21,22,35,20,32
46,ext,2021-11-10,DAL @ CHI,33,21,26,27,32,29,34,22
47,home,2021-11-08,DAL vs. NOP,22,29,27,30,27,20,22,23
48,home,2021-11-06,DAL vs. BOS,29,28,22,28,15,25,32,32
49,ext,2021-11-03,DAL @ SAS,28,31,22,28,28,30,25,25
50,home,2021-11-02,DAL vs. MIA,30,32,26,22,24,46,29,26
51,home,2021-10-31,DAL vs. SAC,31,22,29,23,22,25,25,27
52,ext,2021-10-29,DAL @ DEN,21,23,12,19,29,25,33,19
53,home,2021-10-28,DAL vs. SAS,15,32,29,28,25,24,30,23
54,home,2021-10-26,DAL vs. HOU,27,30,34,25,31,29,28,18
55,ext,2021-10-23,DAL @ TOR,18,27,29,29,25,26,21,23
56,ext,2021-10-21,DAL @ ATL,20,24,20,23,22,29,35,27
57,ext,2021-10-15,DAL @ MIL,30,37,24,23,29,21,27,26
58,ext,2021-10-13,DAL @ CHA,24,37,30,36,17,13,11,18
59,home,2021-10-08,DAL vs. LAC,30,30,31,31,31,25,41,17
60,home,2021-10-06,DAL vs. UTA,22,39,31,19,31,25,18,27
61,ext,2021-08-17,DAL @ MIA,22,31,17,13,18,20,19,25
62,ext,2021-08-15,DAL @ SAC,15,17,21,16,22,18,18,28
63,home,2021-08-14,DAL vs. DEN,22,19,23,17,13,24,14,26
64,home,2021-08-11,DAL vs. UTA,17,21,16,21,18,15,26,16
