,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,home,2022-02-08,DEN vs. NYK,40,43,28,21,36,24,34,21
2,home,2022-02-06,DEN vs. BKN,39,37,31,17,40,35,16,13
3,home,2022-02-04,DEN vs. NOP,29,23,30,23,27,24,31,31
4,ext,2022-02-02,DEN @ UTA,30,31,18,25,28,32,22,26
5,ext,2022-02-01,DEN @ MIN,28,23,27,37,30,39,31,30
6,ext,2022-01-30,DEN @ MIL,33,32,38,33,30,27,24,19
7,ext,2022-01-28,DEN @ NOP,26,24,36,30,17,31,30,27
8,ext,2022-01-26,DEN @ BKN,29,Not Found,42,28,28,Not Found,26,27
9,ext,2022-01-25,DEN @ DET,34,35,28,13,32,27,26,20
10,home,2022-01-23,DEN vs. DET,29,31,32,25,30,30,18,35
11,home,2022-01-21,DEN vs. MEM,28,35,29,26,37,31,30,24
12,home,2022-01-19,DEN vs. LAC,29,18,34,33,25,34,22,33
13,home,2022-01-16,DEN vs. UTA,33,25,30,14,37,31,23,34
14,home,2022-01-15,DEN vs. LAL,34,39,29,31,29,31,19,17
15,home,2022-01-13,DEN vs. POR,41,31,29,39,28,27,25,28
16,ext,2022-01-11,DEN @ LAC,18,23,25,19,16,12,27,32
17,ext,2022-01-09,DEN @ OKC,36,25,19,19,23,26,29,17
18,home,2022-01-07,DEN vs. SAC,35,31,30,25,23,31,31,26
19,home,2022-01-05,DEN vs. UTA,26,30,22,31,26,31,31,27
20,ext,2022-01-03,DEN @ DAL,20,17,26,26,24,22,23,34
21,ext,2022-01-01,DEN @ HOU,30,47,22,25,31,24,19,37
22,ext,2021-12-28,DEN @ GSW,31,29,14,15,16,20,25,25
23,ext,2021-12-26,DEN @ LAC,32,32,15,24,30,25,28,17
24,home,2021-12-23,DEN vs. CHA,26,39,29,13,27,25,25,38
25,ext,2021-12-22,DEN @ OKC,18,34,14,28,28,32,28,20
26,ext,2021-12-17,DEN @ ATL,29,43,34,27,26,28,33,28
27,home,2021-12-15,DEN vs. MIN,32,29,27,19,40,35,33,16
28,home,2021-12-13,DEN vs. WAS,29,30,32,22,22,19,29,37
29,ext,2021-12-11,DEN @ SAS,28,44,31,24,29,27,18,38
30,ext,2021-12-09,DEN @ SAS,29,36,25,21,37,37,26,23
31,ext,2021-12-08,DEN @ NOP,35,29,16,25,33,24,20,28
32,ext,2021-12-06,DEN @ CHI,27,22,22,29,18,28,31,32
33,ext,2021-12-04,DEN @ NYK,30,30,32,21,25,24,22,28
34,ext,2021-12-01,DEN @ ORL,29,34,20,20,15,32,32,29
35,ext,2021-11-29,DEN @ MIA,32,31,32,25,23,20,35,33
36,home,2021-11-26,DEN vs. MIL,16,31,26,36,27,31,32,30
37,ext,2021-11-23,DEN @ POR,27,25,27,21,33,33,26,29
38,ext,2021-11-21,DEN @ PHX,28,32,18,19,48,25,27,26
39,home,2021-11-19,DEN vs. CHI,30,22,26,30,30,23,35,26
40,home,2021-11-18,DEN vs. PHI,23,29,17,20,24,34,29,16
41,ext,2021-11-15,DEN @ DAL,32,26,25,18,35,14,30,32
42,home,2021-11-14,DEN vs. POR,33,34,24,33,18,35,26,16
43,home,2021-11-12,DEN vs. ATL,32,17,30,26,25,21,23,27
44,home,2021-11-10,DEN vs. IND,23,21,25,32,20,24,21,33
45,home,2021-11-08,DEN vs. MIA,30,34,27,22,25,24,21,26
46,home,2021-11-06,DEN vs. HOU,26,20,26,23,27,20,24,23
47,ext,2021-11-03,DEN @ MEM,19,36,28,23,37,19,22,30
48,ext,2021-11-01,DEN @ MEM,26,32,15,24,31,29,22,24
49,ext,2021-10-30,DEN @ MIN,23,20,26,24,32,15,26,18
50,home,2021-10-29,DEN vs. DAL,29,25,33,19,21,23,12,19
51,ext,2021-10-26,DEN @ UTA,31,33,26,20,35,31,25,31
52,home,2021-10-25,DEN vs. CLE,24,22,24,17,29,21,25,24
53,home,2021-10-22,DEN vs. SAS,26,27,26,23,22,28,20,26
54,ext,2021-10-20,DEN @ PHX,26,25,34,25,20,38,24,16
55,ext,2021-10-14,DEN @ OKC,26,30,21,25,30,20,33,19
56,ext,2021-10-13,DEN @ OKC,23,25,24,27,29,24,31,24
57,home,2021-10-08,DEN vs. MIN,26,23,34,18,19,28,29,28
58,ext,2021-10-06,DEN @ GSW,39,23,27,27,26,37,21,34
59,ext,2021-10-04,DEN @ LAC,24,27,29,22,30,24,18,31
60,home,2021-08-16,DEN vs. MIL,16,25,28,25,24,22,22,19
61,ext,2021-08-14,DEN @ DAL,13,24,14,26,22,19,23,17
62,home,2021-08-12,DEN vs. PHX,21,18,24,17,20,21,26,23
63,home,2021-08-10,DEN vs. BOS,23,21,18,12,31,35,24,17
