,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,home,2022-02-10,DET vs. MEM,19,31,30,27,41,24,30,37
2,ext,2022-02-08,DET @ DAL,26,25,20,15,36,29,33,18
3,ext,2022-02-06,DET @ MIN,26,30,23,26,24,31,28,35
4,home,2022-02-04,DET vs. BOS,16,15,25,37,28,18,32,24
5,home,2022-02-03,DET vs. MIN,32,35,27,23,31,34,38,25
6,home,2022-02-01,DET vs. NOP,33,32,22,14,31,26,27,27
7,home,2022-01-30,DET vs. CLE,24,25,35,31,29,26,33,17
8,ext,2022-01-28,DET @ ORL,19,32,24,28,39,28,25,27
9,home,2022-01-25,DET vs. DEN,32,27,26,20,34,35,28,13
10,ext,2022-01-23,DET @ DEN,30,30,18,35,29,31,32,25
11,ext,2022-01-21,DET @ UTA,26,26,30,19,27,33,27,24
12,ext,2022-01-19,DET @ SAC,33,33,39,28,26,45,32,28
13,ext,2022-01-18,DET @ GSW,22,16,25,23,33,33,17,19
14,home,2022-01-16,DET vs. PHX,35,19,28,26,39,25,39,32
15,home,2022-01-14,DET vs. TOR,31,25,27,20,27,16,23,21
16,ext,2022-01-11,DET @ CHI,27,25,16,21,28,33,36,36
17,home,2022-01-10,DET vs. UTA,21,27,40,38,35,26,23,32
18,home,2022-01-08,DET vs. ORL,31,21,21,24,26,19,28,19
19,ext,2022-01-06,DET @ MEM,18,28,22,20,32,30,28,28
20,ext,2022-01-05,DET @ CHA,19,32,24,36,37,28,35,40
21,ext,2022-01-03,DET @ MIL,28,33,26,28,30,36,21,21
22,home,2022-01-01,DET vs. SAS,20,32,33,20,29,30,22,24
23,home,2021-12-29,DET vs. NYK,20,21,30,14,23,25,16,30
24,ext,2021-12-26,DET @ SAS,30,24,26,29,38,40,41,25
25,ext,2021-12-23,DET @ MIA,29,32,26,25,29,28,33,27
26,ext,2021-12-21,DET @ NYK,17,20,32,22,24,24,32,25
27,home,2021-12-19,DET vs. MIA,20,26,33,21,23,25,19,23
28,home,2021-12-18,DET vs. HOU,30,19,26,32,38,24,26,28
29,ext,2021-12-16,DET @ IND,29,35,27,22,32,38,33,19
30,home,2021-12-12,DET vs. BKN,24,33,34,13,31,29,26,30
31,ext,2021-12-10,DET @ NOP,32,23,12,26,25,29,29,26
32,home,2021-12-08,DET vs. WAS,29,31,26,20,27,25,37,17
33,home,2021-12-06,DET vs. OKC,37,26,18,22,28,22,22,42
34,ext,2021-12-02,DET @ PHX,18,33,30,22,30,39,18,27
35,ext,2021-11-30,DET @ POR,21,24,17,30,27,27,29,27
36,ext,2021-11-28,DET @ LAL,21,27,22,36,23,28,32,27
37,ext,2021-11-26,DET @ LAC,18,22,22,34,30,34,18,25
38,ext,2021-11-24,DET @ MIL,26,26,22,19,32,32,24,26
39,home,2021-11-23,DET vs. MIA,25,28,23,16,20,26,21,33
40,home,2021-11-21,DET vs. LAL,26,42,31,17,30,31,23,37
41,home,2021-11-19,DET vs. GSW,23,28,19,32,26,30,30,19
42,home,2021-11-17,DET vs. IND,24,25,24,24,21,20,32,16
43,home,2021-11-15,DET vs. SAC,12,32,26,37,31,37,24,37
44,ext,2021-11-13,DET @ TOR,31,34,28,34,34,30,31,26
45,ext,2021-11-12,DET @ CLE,18,23,11,26,24,28,22,24
46,ext,2021-11-10,DET @ HOU,23,26,36,30,21,29,29,25
47,home,2021-11-05,DET vs. BKN,23,16,23,28,28,11,39,18
48,home,2021-11-04,DET vs. PHI,32,37,16,16,31,32,23,23
49,home,2021-11-02,DET vs. MIL,20,19,23,27,27,30,33,27
50,ext,2021-10-31,DET @ BKN,25,24,25,17,28,36,32,21
51,home,2021-10-30,DET vs. ORL,25,23,34,28,20,27,26,30
52,ext,2021-10-28,DET @ PHI,22,24,21,35,21,31,27,31
53,ext,2021-10-25,DET @ ATL,18,36,25,25,28,34,33,27
54,ext,2021-10-23,DET @ CHI,28,15,11,28,31,23,25,21
55,home,2021-10-20,DET vs. CHI,20,24,25,19,14,26,31,23
56,home,2021-10-15,DET vs. PHI,29,37,25,21,26,29,29,26
57,ext,2021-10-13,DET @ NYK,26,32,21,23,20,32,30,26
58,ext,2021-10-11,DET @ MEM,27,19,28,18,34,36,29,28
59,home,2021-10-06,DET vs. SAS,39,15,30,31,22,29,25,29
60,ext,2021-08-16,DET @ ORL,25,19,13,21,15,24,18,24
61,ext,2021-08-14,DET @ LAL,29,19,29,26,17,26,20,23
62,home,2021-08-13,DET vs. NYK,25,11,28,29,13,18,17,39
63,ext,2021-08-10,DET @ HOU,28,13,28,20,24,33,29,28
