,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,home,2022-02-10,GSW vs. NYK,28,34,20,32,33,24,31,28
2,ext,2022-02-09,GSW @ UTA,31,18,18,20,30,25,24,32
3,ext,2022-02-07,GSW @ OKC,20,36,29,25,23,23,26,26
4,home,2022-02-03,GSW vs. SAC,34,39,21,32,23,31,29,31
5,ext,2022-02-01,GSW @ SAS,30,31,28,35,36,33,35,16
6,ext,2022-01-31,GSW @ HOU,23,38,26,35,25,27,26,33
7,home,2022-01-29,GSW vs. BKN,31,23,24,32,20,27,29,30
8,home,2022-01-27,GSW vs. MIN,29,28,38,29,29,32,20,34
9,home,2022-01-25,GSW vs. DAL,29,34,34,33,20,31,27,14
10,home,2022-01-23,GSW vs. UTA,33,22,28,11,29,25,21,17
11,home,2022-01-21,GSW vs. HOU,24,19,33,29,30,24,22,27
12,home,2022-01-20,GSW vs. IND,30,33,20,27,23,32,28,27
13,home,2022-01-18,GSW vs. DET,33,33,17,19,22,16,25,23
14,ext,2022-01-16,GSW @ MIN,22,28,31,18,30,26,35,28
15,ext,2022-01-14,GSW @ CHI,37,41,34,26,28,19,25,24
16,ext,2022-01-13,GSW @ MIL,21,17,34,27,37,40,23,21
17,ext,2022-01-11,GSW @ MEM,24,27,39,18,28,31,28,29
18,home,2022-01-09,GSW vs. CLE,24,27,28,17,21,25,14,22
19,ext,2022-01-06,GSW @ NOP,22,24,26,24,16,31,28,26
20,ext,2022-01-05,GSW @ DAL,21,18,28,15,21,29,20,29
21,home,2022-01-03,GSW vs. MIA,33,26,30,26,25,29,28,26
22,ext,2022-01-01,GSW @ UTA,29,35,22,37,24,26,41,25
23,home,2021-12-28,GSW vs. DEN,16,20,25,25,31,29,14,15
24,ext,2021-12-25,GSW @ PHX,33,25,26,32,27,35,22,23
25,home,2021-12-23,GSW vs. MEM,27,25,32,29,31,22,30,21
26,home,2021-12-20,GSW vs. SAC,26,32,26,29,16,30,33,19
27,ext,2021-12-18,GSW @ TOR,18,24,27,31,31,32,33,23
28,ext,2021-12-17,GSW @ BOS,34,34,14,29,26,28,27,26
29,ext,2021-12-14,GSW @ NYK,24,23,24,34,24,24,16,32
30,ext,2021-12-13,GSW @ IND,25,22,33,22,29,26,29,16
31,ext,2021-12-11,GSW @ PHI,22,27,24,20,23,23,24,32
32,home,2021-12-08,GSW vs. POR,26,21,29,28,23,22,21,28
33,home,2021-12-06,GSW vs. ORL,31,34,33,28,26,18,35,16
34,home,2021-12-04,GSW vs. SAS,21,37,30,19,36,31,32,13
35,home,2021-12-03,GSW vs. PHX,28,23,29,38,21,27,20,28
36,ext,2021-11-30,GSW @ PHX,35,19,24,18,31,25,24,24
37,ext,2021-11-28,GSW @ LAC,20,24,31,30,24,18,26,22
38,home,2021-11-26,GSW vs. POR,27,32,33,27,26,18,26,33
39,home,2021-11-24,GSW vs. PHI,23,29,34,30,34,27,23,12
40,home,2021-11-21,GSW vs. TOR,36,25,31,27,24,23,30,27
41,ext,2021-11-19,GSW @ DET,26,30,30,19,23,28,19,32
42,ext,2021-11-18,GSW @ CLE,27,24,17,36,29,25,27,10
43,ext,2021-11-16,GSW @ BKN,31,32,38,19,34,24,18,23
44,ext,2021-11-14,GSW @ CHA,27,30,32,17,30,27,30,19
45,home,2021-11-12,GSW vs. CHI,23,28,35,33,29,16,17,31
46,home,2021-11-10,GSW vs. MIN,31,38,24,30,28,26,30,26
47,home,2021-11-08,GSW vs. ATL,32,29,41,25,34,31,20,28
48,home,2021-11-07,GSW vs. HOU,37,32,34,17,32,29,22,24
49,home,2021-11-05,GSW vs. NOP,38,16,34,38,31,19,16,19
50,home,2021-11-03,GSW vs. CHA,21,32,27,34,26,26,15,25
51,home,2021-10-30,GSW vs. OKC,28,27,27,21,20,24,17,24
52,home,2021-10-28,GSW vs. MEM,37,18,24,19,20,25,28,25
53,ext,2021-10-26,GSW @ OKC,29,19,33,25,34,25,17,22
54,ext,2021-10-24,GSW @ SAC,29,31,30,29,31,31,26,19
55,home,2021-10-21,GSW vs. LAC,44,22,24,25,27,40,26,20
56,ext,2021-10-19,GSW @ LAL,32,21,30,38,34,25,26,29
57,home,2021-10-15,GSW vs. POR,17,38,43,21,27,24,26,20
58,ext,2021-10-12,GSW @ LAL,24,29,32,26,32,23,29,15
59,home,2021-10-08,GSW vs. LAL,21,38,32,30,25,24,28,37
60,home,2021-10-06,GSW vs. DEN,26,37,21,34,39,23,27,27
61,ext,2021-10-04,GSW @ POR,26,37,40,21,25,35,25,22
62,home,2021-08-17,GSW vs. LAL,Not Found,20,21,13,Not Found,16,17,34
63,ext,2021-08-15,GSW @ NOP,18,19,16,23,7,17,14,18
64,ext,2021-08-13,GSW @ OKC,27,24,20,23,32,20,20,12
65,home,2021-08-11,GSW vs. TOR,17,27,22,24,19,16,21,28
66,home,2021-08-09,GSW vs. ORL,18,22,27,18,20,19,20,24
67,home,2021-08-04,GSW vs. MIA,20,23,23,21,30,21,21,22
