,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,ext,2022-02-10,LAC @ DAL,28,22,31,24,36,23,30,23
2,ext,2022-02-08,LAC @ MEM,27,28,19,35,38,32,34,31
3,home,2022-02-06,LAC vs. MIL,32,19,30,32,28,32,39,38
4,home,2022-02-03,LAC vs. LAL,28,32,34,17,26,28,28,28
5,ext,2022-01-31,LAC @ IND,27,28,30,31,30,30,24,38
6,ext,2022-01-30,LAC @ CHA,24,27,33,31,25,22,29,14
7,ext,2022-01-28,LAC @ MIA,19,26,35,34,28,29,39,25
8,ext,2022-01-26,LAC @ ORL,23,26,27,35,25,23,30,24
9,ext,2022-01-25,LAC @ WAS,23,13,40,40,32,34,27,22
10,ext,2022-01-23,LAC @ NYK,31,30,20,21,39,27,25,19
11,ext,2022-01-21,LAC @ PHI,24,16,30,32,17,37,26,21
12,ext,2022-01-19,LAC @ DEN,25,34,22,33,29,18,34,33
13,home,2022-01-17,LAC vs. IND,40,28,36,35,27,32,31,43
14,ext,2022-01-15,LAC @ SAS,22,25,33,14,21,35,29,16
15,ext,2022-01-13,LAC @ NOP,15,19,29,26,28,25,34,26
16,home,2022-01-11,LAC vs. DEN,16,12,27,32,18,23,25,19
17,home,2022-01-09,LAC vs. ATL,31,28,27,20,23,30,20,20
18,home,2022-01-08,LAC vs. MEM,36,20,28,24,28,38,28,32
19,ext,2022-01-06,LAC @ PHX,20,20,26,23,21,35,19,31
20,home,2022-01-03,LAC vs. MIN,21,25,19,39,26,38,21,37
21,ext,2022-01-01,LAC @ BKN,29,20,31,40,30,23,34,29
22,ext,2021-12-31,LAC @ TOR,29,33,25,21,32,24,26,34
23,ext,2021-12-29,LAC @ BOS,26,21,22,22,21,19,23,19
24,home,2021-12-27,LAC vs. BKN,33,22,26,27,38,33,30,23
25,home,2021-12-26,LAC vs. DEN,30,25,28,17,32,32,15,24
26,ext,2021-12-22,LAC @ SAC,25,24,25,31,20,18,30,21
27,home,2021-12-20,LAC vs. SAS,27,21,17,27,35,27,30,24
28,ext,2021-12-18,LAC @ OKC,19,33,27,24,24,33,24,23
29,ext,2021-12-15,LAC @ UTA,31,28,22,22,35,30,28,31
30,home,2021-12-13,LAC vs. PHX,27,29,23,32,21,23,25,26
31,home,2021-12-11,LAC vs. ORL,23,26,29,28,30,14,31,29
32,home,2021-12-08,LAC vs. BOS,24,39,27,27,28,23,27,33
33,ext,2021-12-06,LAC @ POR,27,21,29,25,26,23,25,16
34,ext,2021-12-04,LAC @ SAC,29,16,25,29,29,21,26,28
35,ext,2021-12-03,LAC @ LAL,23,30,34,32,22,28,29,36
36,home,2021-12-01,LAC vs. SAC,21,31,24,39,29,33,37,25
37,home,2021-11-29,LAC vs. NOP,22,30,26,26,37,30,23,33
38,home,2021-11-28,LAC vs. GSW,24,18,26,22,20,24,31,30
39,home,2021-11-26,LAC vs. DET,30,34,18,25,18,22,22,34
40,home,2021-11-23,LAC vs. DAL,26,22,28,27,21,21,38,23
41,home,2021-11-21,LAC vs. DAL,19,27,25,26,22,25,15,29
42,ext,2021-11-19,LAC @ NOP,29,26,14,12,16,27,29,22
43,ext,2021-11-18,LAC @ MEM,24,29,32,23,30,26,38,26
44,home,2021-11-16,LAC vs. SAS,25,32,26,23,20,33,18,21
45,home,2021-11-14,LAC vs. CHI,17,28,26,19,30,24,23,23
46,home,2021-11-13,LAC vs. MIN,32,38,28,31,26,17,28,31
47,home,2021-11-11,LAC vs. MIA,25,31,30,26,40,18,20,31
48,home,2021-11-09,LAC vs. POR,33,23,27,34,26,29,24,30
49,home,2021-11-07,LAC vs. CHA,31,33,28,31,39,19,29,19
50,ext,2021-11-05,LAC @ MIN,23,24,28,29,33,24,15,12
51,ext,2021-11-03,LAC @ MIN,27,31,45,23,23,31,34,27
52,home,2021-11-01,LAC vs. OKC,14,26,26,33,23,21,30,20
53,ext,2021-10-29,LAC @ POR,24,16,27,25,25,25,28,35
54,home,2021-10-27,LAC vs. CLE,14,26,24,15,23,24,25,20
55,home,2021-10-25,LAC vs. POR,31,25,35,25,17,25,19,25
56,home,2021-10-23,LAC vs. MEM,34,28,27,25,25,34,38,23
57,ext,2021-10-21,LAC @ GSW,27,40,26,20,44,22,24,25
58,home,2021-10-11,LAC vs. MIN,30,27,22,21,27,40,29,32
59,ext,2021-10-08,LAC @ DAL,31,25,41,17,30,30,31,31
60,home,2021-10-06,LAC vs. SAC,22,29,17,30,28,23,38,24
61,home,2021-10-04,LAC vs. DEN,30,24,18,31,24,27,29,22
62,home,2021-08-16,LAC vs. MEM,17,19,29,30,28,29,22,25
63,home,2021-08-15,LAC vs. UTA,22,30,21,21,22,21,23,24
64,home,2021-08-13,LAC vs. LAL,15,22,20,27,17,27,17,25
65,ext,2021-08-10,LAC @ POR,20,16,15,15,22,17,25,22
