,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,ext,2022-02-09,LAL @ POR,18,36,24,27,18,29,29,31
2,home,2022-02-08,LAL vs. MIL,24,32,29,31,38,40,31,22
3,home,2022-02-05,LAL vs. NYK,29,27,31,24,42,29,13,27
4,ext,2022-02-03,LAL @ LAC,26,28,28,28,28,32,34,17
5,home,2022-02-02,LAL vs. POR,28,26,18,27,16,37,24,19
6,ext,2022-01-30,LAL @ ATL,33,38,30,20,34,28,29,38
7,ext,2022-01-28,LAL @ CHA,21,28,36,29,31,34,22,30
8,ext,2022-01-27,LAL @ PHI,22,26,20,19,32,22,34,17
9,ext,2022-01-25,LAL @ BKN,33,31,30,14,25,28,25,18
10,ext,2022-01-23,LAL @ MIA,25,27,18,37,39,30,20,24
11,ext,2022-01-21,LAL @ ORL,24,30,31,31,27,35,16,27
12,home,2022-01-19,LAL vs. IND,32,24,24,24,23,27,26,35
13,home,2022-01-17,LAL vs. UTA,24,28,20,29,25,21,32,17
14,ext,2022-01-15,LAL @ DEN,29,31,19,17,34,39,29,31
15,ext,2022-01-12,LAL @ SAC,34,33,23,26,29,32,40,24
16,home,2022-01-09,LAL vs. MEM,27,25,31,36,27,38,42,20
17,home,2022-01-07,LAL vs. ATL,34,30,37,33,28,33,26,31
18,home,2022-01-04,LAL vs. SAC,26,31,28,37,31,28,24,33
19,home,2022-01-02,LAL vs. MIN,31,26,21,30,24,30,26,23
20,home,2021-12-31,LAL vs. POR,43,26,32,38,28,26,23,29
21,ext,2021-12-29,LAL @ MEM,30,24,29,16,23,27,30,26
22,ext,2021-12-28,LAL @ HOU,34,33,30,35,35,24,33,31
23,home,2021-12-25,LAL vs. BKN,23,39,20,33,38,28,36,20
24,home,2021-12-23,LAL vs. SAS,24,31,37,18,33,33,39,33
25,home,2021-12-21,LAL vs. PHX,25,27,21,17,24,30,31,23
26,ext,2021-12-19,LAL @ CHI,22,39,25,26,28,33,22,32
27,ext,2021-12-17,LAL @ MIN,16,29,20,27,23,31,31,25
28,ext,2021-12-15,LAL @ DAL,33,14,26,20,23,27,23,20
29,home,2021-12-12,LAL vs. ORL,18,31,36,21,25,27,10,32
30,ext,2021-12-10,LAL @ OKC,32,32,29,23,18,27,23,27
31,ext,2021-12-09,LAL @ MEM,29,24,25,17,25,34,26,23
32,home,2021-12-07,LAL vs. BOS,31,29,31,26,33,22,20,27
33,home,2021-12-03,LAL vs. LAC,22,28,29,36,23,30,34,32
34,ext,2021-11-30,LAL @ SAC,20,30,40,30,28,31,15,18
35,home,2021-11-28,LAL vs. DET,23,28,32,27,21,27,22,36
36,home,2021-11-26,LAL vs. SAC,20,23,35,22,20,23,30,27
37,ext,2021-11-24,LAL @ IND,26,34,22,30,31,35,18,28
38,ext,2021-11-23,LAL @ NYK,20,31,30,19,36,27,20,23
39,ext,2021-11-21,LAL @ DET,30,31,23,37,26,42,31,17
40,ext,2021-11-19,LAL @ BOS,38,23,21,26,30,30,33,37
41,ext,2021-11-17,LAL @ MIL,32,21,30,19,30,34,21,24
42,home,2021-11-15,LAL vs. CHI,25,23,25,30,33,24,37,27
43,home,2021-11-14,LAL vs. SAS,34,26,30,24,29,26,24,27
44,home,2021-11-12,LAL vs. MIN,26,23,12,22,19,25,40,23
45,home,2021-11-10,LAL vs. MIA,28,27,27,30,25,32,29,26
46,home,2021-11-08,LAL vs. CHA,29,32,33,21,26,34,27,28
47,ext,2021-11-06,LAL @ POR,14,22,26,28,36,15,42,12
48,home,2021-11-04,LAL vs. OKC,25,27,28,24,21,27,24,35
49,home,2021-11-02,LAL vs. HOU,32,32,23,32,35,35,19,28
50,home,2021-10-31,LAL vs. HOU,27,27,21,20,15,20,19,31
51,home,2021-10-29,LAL vs. CLE,21,33,34,25,28,26,31,16
52,ext,2021-10-27,LAL @ OKC,41,31,23,20,19,37,41,29
53,ext,2021-10-26,LAL @ SAS,27,34,24,29,29,33,35,17
54,home,2021-10-24,LAL vs. MEM,29,33,25,34,24,33,34,28
55,home,2021-10-22,LAL vs. PHX,26,18,23,38,23,34,37,21
56,home,2021-10-19,LAL vs. GSW,34,25,26,29,32,21,30,38
57,ext,2021-10-14,LAL @ SAC,23,42,22,25,35,36,21,24
58,home,2021-10-12,LAL vs. GSW,32,23,29,15,24,29,32,26
59,home,2021-10-10,LAL vs. PHX,18,26,20,30,28,23,37,35
60,ext,2021-10-08,LAL @ GSW,25,24,28,37,21,38,32,30
61,ext,2021-10-06,LAL @ PHX,21,24,29,31,27,35,40,15
62,home,2021-10-03,LAL vs. BKN,19,30,32,16,25,32,27,39
63,ext,2021-08-17,LAL @ GSW,17,16,17,34,22,20,21,13
64,home,2021-08-14,LAL vs. DET,17,26,20,23,29,19,29,26
65,ext,2021-08-13,LAL @ LAC,17,27,17,25,15,22,20,27
66,home,2021-08-11,LAL vs. NYK,20,13,24,25,25,15,18,33
67,ext,2021-08-08,LAL @ PHX,14,16,19,24,12,16,30,16
68,ext,2021-08-04,LAL @ SAC,15,17,19,33,18,16,23,17
