,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,ext,2022-02-10,MEM @ DET,41,24,30,37,19,31,30,27
2,home,2022-02-08,MEM vs. LAC,38,32,34,31,27,28,19,35
3,ext,2022-02-05,MEM @ ORL,37,39,32,27,24,32,25,34
4,ext,2022-02-02,MEM @ NYK,35,29,28,28,27,25,27,29
5,ext,2022-01-31,MEM @ PHI,30,28,22,32,39,24,21,27
6,home,2022-01-29,MEM vs. WAS,30,33,24,28,15,26,31,23
7,home,2022-01-28,MEM vs. UTA,31,28,29,31,30,21,27,31
8,ext,2022-01-26,MEM @ SAS,34,27,33,24,25,33,28,24
9,ext,2022-01-23,MEM @ DAL,16,18,27,30,24,24,29,27
10,ext,2022-01-21,MEM @ DEN,37,31,30,24,28,35,29,26
11,ext,2022-01-19,MEM @ MIL,30,17,40,27,36,25,35,30
12,home,2022-01-17,MEM vs. CHI,20,38,36,27,20,25,27,34
13,home,2022-01-14,MEM vs. DAL,29,26,18,12,25,25,34,28
14,home,2022-01-13,MEM vs. MIN,25,28,37,28,31,29,24,24
15,home,2022-01-11,MEM vs. GSW,28,31,28,29,24,27,39,18
16,ext,2022-01-09,MEM @ LAL,27,38,42,20,27,25,31,36
17,ext,2022-01-08,MEM @ LAC,28,38,28,32,36,20,28,24
18,home,2022-01-06,MEM vs. DET,32,30,28,28,18,28,22,20
19,ext,2022-01-04,MEM @ CLE,27,30,19,34,30,25,20,31
20,ext,2022-01-03,MEM @ BKN,29,27,40,22,24,23,26,31
21,home,2021-12-31,MEM vs. SAS,32,31,27,28,26,35,18,26
22,home,2021-12-29,MEM vs. LAL,Not Found,Not Found,30,Not Found,Not Found,Not Found,29,Not Found
23,ext,2021-12-27,MEM @ PHX,25,35,29,25,24,24,27,38
24,ext,2021-12-26,MEM @ SAC,20,29,40,38,24,26,27,25
25,ext,2021-12-23,MEM @ GSW,31,22,30,21,27,25,32,29
26,home,2021-12-20,MEM vs. OKC,28,22,22,27,16,31,27,28
27,home,2021-12-19,MEM vs. POR,32,20,28,20,28,23,26,28
28,ext,2021-12-17,MEM @ SAC,29,29,33,33,31,25,19,30
29,ext,2021-12-15,MEM @ POR,24,31,25,33,19,28,35,21
30,home,2021-12-13,MEM vs. PHI,37,31,33,25,30,26,19,16
31,home,2021-12-11,MEM vs. HOU,40,23,23,27,29,18,30,29
32,home,2021-12-09,MEM vs. LAL,25,34,26,23,29,24,25,17
33,home,2021-12-08,MEM vs. DAL,25,28,23,21,26,22,28,28
34,ext,2021-12-06,MEM @ MIA,34,26,24,23,25,24,18,23
35,ext,2021-12-04,MEM @ DAL,22,27,23,25,18,19,21,32
36,home,2021-12-02,MEM vs. OKC,31,41,41,39,16,20,26,17
37,ext,2021-11-30,MEM @ TOR,27,23,20,28,18,21,28,26
38,home,2021-11-28,MEM vs. SAC,38,38,30,22,25,27,22,27
39,home,2021-11-26,MEM vs. ATL,21,27,18,34,29,33,43,27
40,home,2021-11-24,MEM vs. TOR,32,39,21,21,25,37,32,35
41,ext,2021-11-22,MEM @ UTA,27,27,38,27,30,30,36,22
42,ext,2021-11-20,MEM @ MIN,23,20,28,24,40,32,41,25
43,home,2021-11-18,MEM vs. LAC,30,26,38,26,24,29,32,23
44,home,2021-11-15,MEM vs. HOU,33,41,31,31,20,36,15,31
45,ext,2021-11-13,MEM @ NOP,22,22,28,29,35,27,21,29
46,home,2021-11-12,MEM vs. PHX,23,20,21,30,36,26,30,27
47,home,2021-11-10,MEM vs. CHA,36,16,26,30,34,26,21,37
48,home,2021-11-08,MEM vs. MIN,34,24,23,32,34,20,38,23
49,ext,2021-11-05,MEM @ WAS,31,16,21,19,35,25,31,24
50,home,2021-11-03,MEM vs. DEN,37,19,22,30,19,36,28,23
51,home,2021-11-01,MEM vs. DEN,31,29,22,24,26,32,15,24
52,home,2021-10-30,MEM vs. MIA,22,32,25,24,38,29,35,27
53,ext,2021-10-28,MEM @ GSW,20,25,28,25,37,18,24,19
54,ext,2021-10-27,MEM @ POR,27,30,20,19,24,27,36,29
55,ext,2021-10-24,MEM @ LAL,24,33,34,28,29,33,25,34
56,ext,2021-10-23,MEM @ LAC,25,34,38,23,34,28,27,25
57,home,2021-10-20,MEM vs. CLE,32,41,21,38,32,29,29,31
58,ext,2021-10-15,MEM @ CHI,35,18,28,24,28,27,27,36
59,ext,2021-10-13,MEM @ IND,22,35,33,17,28,24,32,25
60,home,2021-10-11,MEM vs. DET,34,36,29,28,27,19,28,18
61,home,2021-10-09,MEM vs. ATL,22,18,24,23,21,16,27,27
62,ext,2021-10-07,MEM @ CHA,31,42,28,27,19,24,27,28
63,home,2021-10-05,MEM vs. MIL,35,20,32,0,23,24,30,0
64,ext,2021-08-16,MEM @ LAC,28,29,22,25,17,19,29,30
65,ext,2021-08-15,MEM @ CHI,24,29,16,27,19,22,31,19
66,ext,2021-08-13,MEM @ SAC,13,24,26,12,19,23,27,24
67,home,2021-08-11,MEM vs. MIA,24,25,17,22,13,25,20,30
68,home,2021-08-09,MEM vs. BKN,15,28,18,30,16,17,26,25
69,home,2021-08-06,MEM vs. SAS,14,21,31,16,22,11,16,28
70,ext,2021-08-04,MEM @ UTW,18,10,22,25,26,19,24,25
