,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,ext,2022-02-10,MIA @ NOP,27,29,27,29,24,31,18,24
2,ext,2022-02-07,MIA @ WAS,39,21,31,30,24,29,17,30
3,ext,2022-02-05,MIA @ CHA,31,15,35,23,23,28,8,27
4,ext,2022-02-03,MIA @ SAS,21,36,31,24,19,28,19,29
5,ext,2022-02-01,MIA @ TOR,32,30,21,23,22,28,30,30
6,ext,2022-01-31,MIA @ BOS,14,31,25,22,27,27,40,28
7,home,2022-01-29,MIA vs. TOR,27,26,22,25,28,31,26,15
8,home,2022-01-28,MIA vs. LAC,28,29,39,25,19,26,35,34
9,home,2022-01-26,MIA vs. NYK,30,29,33,18,16,30,21,29
10,home,2022-01-23,MIA vs. LAL,39,30,20,24,25,27,18,37
11,ext,2022-01-21,MIA @ ATL,30,21,23,34,31,29,28,22
12,home,2022-01-19,MIA vs. POR,23,35,20,26,26,30,24,12
13,home,2022-01-17,MIA vs. TOR,27,31,22,24,30,21,24,24
14,home,2022-01-15,MIA vs. PHI,29,21,23,25,20,23,32,37
15,home,2022-01-14,MIA vs. ATL,40,24,30,30,30,40,29,19
16,ext,2022-01-12,MIA @ ATL,21,35,30,29,27,24,16,24
17,ext,2022-01-08,MIA @ PHX,33,38,27,25,29,21,29,21
18,ext,2022-01-05,MIA @ POR,30,28,25,32,23,24,33,29
19,ext,2022-01-03,MIA @ GSW,25,29,28,26,33,26,30,26
20,ext,2022-01-02,MIA @ SAC,18,39,33,23,26,35,29,25
21,ext,2021-12-31,MIA @ HOU,41,33,26,20,30,30,27,23
22,home,2021-12-28,MIA vs. WAS,38,27,26,28,24,27,22,39
23,home,2021-12-26,MIA vs. ORL,22,20,30,21,24,15,21,23
24,home,2021-12-23,MIA vs. DET,29,28,33,27,29,32,26,25
25,home,2021-12-21,MIA vs. IND,33,35,30,27,21,24,24,27
26,ext,2021-12-19,MIA @ DET,23,25,19,23,20,26,33,21
27,ext,2021-12-17,MIA @ ORL,31,35,27,22,22,35,26,22
28,ext,2021-12-15,MIA @ PHI,29,29,23,20,18,31,21,26
29,ext,2021-12-13,MIA @ CLE,25,19,29,21,23,32,23,27
30,home,2021-12-11,MIA vs. CHI,39,26,21,32,25,27,18,22
31,home,2021-12-08,MIA vs. MIL,24,20,39,30,26,25,26,27
32,home,2021-12-06,MIA vs. MEM,25,24,18,23,34,26,24,23
33,ext,2021-12-04,MIA @ MIL,23,29,24,26,34,35,36,19
34,ext,2021-12-03,MIA @ IND,32,30,30,21,25,30,26,23
35,home,2021-12-01,MIA vs. CLE,16,27,20,22,31,30,28,24
36,home,2021-11-29,MIA vs. DEN,23,20,35,33,32,31,32,25
37,ext,2021-11-27,MIA @ CHI,27,22,23,35,20,26,28,30
38,ext,2021-11-24,MIA @ MIN,27,35,20,19,30,24,32,27
39,ext,2021-11-23,MIA @ DET,20,26,21,33,25,28,23,16
40,ext,2021-11-20,MIA @ WAS,25,18,32,25,26,15,30,32
41,home,2021-11-18,MIA vs. WAS,21,26,36,29,19,21,30,27
42,home,2021-11-17,MIA vs. NOP,21,26,34,32,34,18,18,28
43,ext,2021-11-15,MIA @ OKC,23,20,31,29,24,19,24,23
44,ext,2021-11-13,MIA @ UTA,27,31,37,16,24,26,21,36
45,ext,2021-11-11,MIA @ LAC,40,18,20,31,25,31,30,26
46,ext,2021-11-10,MIA @ LAL,25,32,29,26,28,27,27,30
47,ext,2021-11-08,MIA @ DEN,25,24,21,26,30,34,27,22
48,home,2021-11-06,MIA vs. UTA,27,28,32,31,24,28,26,37
49,home,2021-11-04,MIA vs. BOS,24,9,24,21,18,33,24,20
50,ext,2021-11-02,MIA @ DAL,24,46,29,26,30,32,26,22
51,ext,2021-10-30,MIA @ MEM,38,29,35,27,22,32,25,24
52,home,2021-10-29,MIA vs. CHA,33,31,20,30,22,24,29,24
53,ext,2021-10-27,MIA @ BKN,29,20,32,25,22,29,23,19
54,home,2021-10-25,MIA vs. ORL,27,30,24,26,15,29,26,20
55,ext,2021-10-23,MIA @ IND,24,22,17,23,28,28,8,22
56,home,2021-10-21,MIA vs. MIL,40,35,33,32,17,26,26,26
57,home,2021-10-15,MIA vs. BOS,28,31,28,34,34,21,26,19
58,ext,2021-10-14,MIA @ ATL,17,26,29,20,33,34,30,33
59,home,2021-10-11,MIA vs. CHA,27,20,30,27,24,29,25,25
60,ext,2021-10-08,MIA @ SAS,24,30,24,31,17,28,32,28
61,ext,2021-10-07,MIA @ HOU,34,28,29,22,26,22,22,36
62,home,2021-10-04,MIA vs. ATL,33,41,25,26,32,26,26,17
63,home,2021-08-17,MIA vs. DAL,18,20,19,25,22,31,17,13
64,home,2021-08-14,MIA vs. ATL,24,27,21,18,26,26,19,23
65,ext,2021-08-13,MIA @ UTA,17,16,20,12,13,19,27,25
66,ext,2021-08-11,MIA @ MEM,13,25,20,30,24,25,17,22
67,home,2021-08-08,MIA vs. DEN,30,21,22,24,12,20,15,28
68,ext,2021-08-04,MIA @ GSW,30,21,21,22,20,23,23,21
