,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,ext,2022-02-10,MIL @ PHX,34,22,21,30,31,33,33,34
2,ext,2022-02-08,MIL @ LAL,38,40,31,22,24,32,29,31
3,ext,2022-02-06,MIL @ LAC,28,32,39,38,32,19,30,32
4,ext,2022-02-05,MIL @ POR,34,36,37,30,26,28,21,33
5,home,2022-02-01,MIL vs. WAS,24,29,25,34,20,20,33,25
6,home,2022-01-30,MIL vs. DEN,30,27,24,19,33,32,38,33
7,home,2022-01-28,MIL vs. NYK,39,28,29,30,30,33,25,20
8,ext,2022-01-26,MIL @ CLE,35,22,20,22,26,39,30,20
9,home,2022-01-22,MIL vs. SAC,27,35,32,39,35,19,32,41
10,home,2022-01-21,MIL vs. CHI,24,21,23,28,20,24,25,21
11,home,2022-01-19,MIL vs. MEM,36,25,35,30,30,17,40,27
12,ext,2022-01-17,MIL @ ATL,26,36,26,26,17,33,33,38
13,home,2022-01-15,MIL vs. TOR,29,20,20,27,20,26,27,30
14,home,2022-01-13,MIL vs. GSW,37,40,23,21,21,17,34,27
15,ext,2022-01-10,MIL @ CHA,19,29,26,25,28,19,36,23
16,ext,2022-01-08,MIL @ CHA,29,12,34,31,27,20,42,25
17,ext,2022-01-07,MIL @ BKN,29,31,38,23,21,28,31,29
18,home,2022-01-05,MIL vs. TOR,42,35,11,23,35,33,24,25
19,home,2022-01-03,MIL vs. DET,30,36,21,21,28,33,26,28
20,home,2022-01-01,MIL vs. NOP,27,37,32,40,24,32,26,31
21,ext,2021-12-30,MIL @ ORL,32,31,33,40,24,27,36,33
22,ext,2021-12-28,MIL @ ORL,32,40,25,30,24,21,37,28
23,home,2021-12-25,MIL vs. BOS,22,25,46,27,35,27,32,19
24,ext,2021-12-23,MIL @ DAL,15,26,34,27,23,20,31,21
25,home,2021-12-22,MIL vs. HOU,25,38,34,29,24,26,26,30
26,home,2021-12-18,MIL vs. CLE,20,31,18,21,34,28,31,26
27,ext,2021-12-17,MIL @ NOP,28,21,28,26,21,31,25,26
28,home,2021-12-15,MIL vs. IND,33,25,29,27,33,20,34,12
29,ext,2021-12-13,MIL @ BOS,30,20,24,29,21,30,34,32
30,ext,2021-12-12,MIL @ NYK,26,35,32,19,16,32,31,18
31,ext,2021-12-10,MIL @ HOU,26,32,32,33,23,42,30,19
32,ext,2021-12-08,MIL @ MIA,26,25,26,27,24,20,39,30
33,home,2021-12-06,MIL vs. CLE,24,34,32,24,24,26,28,26
34,home,2021-12-04,MIL vs. MIA,34,35,36,19,23,29,24,26
35,ext,2021-12-02,MIL @ TOR,23,17,28,27,26,22,25,24
36,home,2021-12-01,MIL vs. CHA,25,35,37,30,41,27,27,30
37,ext,2021-11-28,MIL @ IND,26,26,39,27,26,21,27,26
38,ext,2021-11-26,MIL @ DEN,27,31,32,30,16,31,26,36
39,home,2021-11-24,MIL vs. DET,32,32,24,26,26,26,22,19
40,home,2021-11-22,MIL vs. ORL,36,41,28,18,16,20,20,36
41,home,2021-11-20,MIL vs. ORL,36,26,34,21,24,26,21,37
42,home,2021-11-19,MIL vs. OKC,34,24,22,16,24,23,21,21
43,home,2021-11-17,MIL vs. LAL,30,34,21,24,32,21,30,19
44,ext,2021-11-14,MIL @ ATL,24,20,33,23,32,26,31,31
45,ext,2021-11-12,MIL @ BOS,30,25,26,27,30,21,37,20
46,ext,2021-11-10,MIL @ NYK,31,20,31,30,22,20,24,34
47,ext,2021-11-09,MIL @ PHI,30,31,30,27,39,19,35,16
48,ext,2021-11-07,MIL @ WAS,24,28,19,23,26,23,33,19
49,home,2021-11-05,MIL vs. NYK,38,25,20,15,19,37,32,25
50,ext,2021-11-02,MIL @ DET,27,30,33,27,20,19,23,27
51,home,2021-10-31,MIL vs. UTA,23,25,21,26,30,27,27,23
52,home,2021-10-30,MIL vs. SAS,24,23,20,26,27,18,24,33
53,home,2021-10-27,MIL vs. MIN,34,24,21,29,44,22,28,19
54,ext,2021-10-25,MIL @ IND,34,32,35,18,30,27,29,23
55,ext,2021-10-23,MIL @ SAS,32,24,29,36,32,20,29,30
56,ext,2021-10-21,MIL @ MIA,17,26,26,26,40,35,33,32
57,home,2021-10-19,MIL vs. BKN,37,29,31,30,25,34,26,19
58,home,2021-10-15,MIL vs. DAL,29,21,27,26,30,37,24,23
59,ext,2021-10-13,MIL @ UTA,30,31,32,27,35,28,32,29
60,home,2021-10-10,MIL vs. OKC,48,36,23,26,32,22,27,29
61,ext,2021-10-08,MIL @ BKN,26,34,28,27,32,24,33,30
62,ext,2021-10-05,MIL @ MEM,23,24,30,0,35,20,32,0
63,ext,2021-08-16,MIL @ DEN,24,22,22,19,16,25,28,25
64,ext,2021-08-15,MIL @ WAS,25,13,21,24,18,26,17,24
65,home,2021-08-13,MIL vs. MIN,18,14,20,12,26,27,16,24
66,ext,2021-08-11,MIL @ BKN,14,22,23,20,24,24,25,24
