,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,ext,2022-02-09,MIN @ SAC,37,27,37,18,29,42,28,33
2,ext,2022-02-08,MIN @ SAC,35,38,29,32,35,32,23,24
3,home,2022-02-06,MIN vs. DET,24,31,28,35,26,30,23,26
4,ext,2022-02-03,MIN @ DET,31,34,38,25,32,35,27,23
5,home,2022-02-01,MIN vs. DEN,30,39,31,30,28,23,27,37
6,home,2022-01-30,MIN vs. UTA,26,26,40,34,20,28,27,31
7,ext,2022-01-28,MIN @ PHX,32,34,27,31,40,34,26,34
8,ext,2022-01-27,MIN @ GSW,29,32,20,34,29,28,38,29
9,ext,2022-01-25,MIN @ POR,26,29,29,25,29,34,19,25
10,home,2022-01-23,MIN vs. BKN,37,35,30,34,36,26,33,30
11,ext,2022-01-19,MIN @ ATL,42,31,20,29,26,35,45,28
12,ext,2022-01-18,MIN @ NYK,30,31,25,26,23,28,40,19
13,home,2022-01-16,MIN vs. GSW,30,26,35,28,22,28,31,18
14,ext,2022-01-13,MIN @ MEM,31,29,24,24,25,28,37,28
15,ext,2022-01-11,MIN @ NOP,36,23,30,36,35,30,32,31
16,ext,2022-01-09,MIN @ HOU,36,39,36,30,26,28,34,35
17,ext,2022-01-07,MIN @ OKC,32,41,30,32,28,29,23,25
18,home,2022-01-05,MIN vs. OKC,30,19,20,29,10,26,27,27
19,ext,2022-01-03,MIN @ LAC,26,38,21,37,21,25,19,39
20,ext,2022-01-02,MIN @ LAL,24,30,26,23,31,26,21,30
21,ext,2021-12-31,MIN @ UTA,22,28,37,21,29,34,23,34
22,home,2021-12-28,MIN vs. NYK,22,19,21,26,29,15,28,24
23,home,2021-12-27,MIN vs. BOS,23,22,29,34,29,27,23,24
24,ext,2021-12-23,MIN @ UTA,27,33,30,26,35,34,34,27
25,ext,2021-12-21,MIN @ DAL,35,15,30,24,34,27,27,26
26,home,2021-12-19,MIN vs. DAL,27,29,30,25,25,25,38,17
27,home,2021-12-17,MIN vs. LAL,23,31,31,25,16,29,20,27
28,ext,2021-12-15,MIN @ DEN,40,35,33,16,32,29,27,19
29,ext,2021-12-12,MIN @ POR,33,23,33,27,26,29,29,27
30,home,2021-12-10,MIN vs. CLE,20,24,27,35,34,31,27,31
31,home,2021-12-08,MIN vs. UTA,33,26,22,23,34,26,35,41
32,home,2021-12-06,MIN vs. ATL,24,24,30,32,33,28,35,25
33,ext,2021-12-03,MIN @ BKN,34,21,30,20,27,32,27,24
34,ext,2021-12-01,MIN @ WAS,24,33,31,19,24,29,38,24
35,home,2021-11-29,MIN vs. IND,20,28,30,22,26,31,19,22
36,ext,2021-11-27,MIN @ PHI,35,23,16,28,20,21,29,30
37,ext,2021-11-26,MIN @ CHA,28,30,25,32,30,38,33,34
38,home,2021-11-24,MIN vs. MIA,30,24,32,27,27,35,20,19
39,ext,2021-11-22,MIN @ NOP,28,38,25,21,29,21,19,27
40,home,2021-11-20,MIN vs. MEM,40,32,41,25,23,20,28,24
41,home,2021-11-18,MIN vs. SAS,34,32,29,22,20,33,25,12
42,home,2021-11-17,MIN vs. SAC,22,22,33,30,18,30,24,25
43,home,2021-11-15,MIN vs. PHX,21,18,23,34,18,22,26,33
44,ext,2021-11-13,MIN @ LAC,26,17,28,31,32,38,28,31
45,ext,2021-11-12,MIN @ LAL,19,25,40,23,26,23,12,22
46,ext,2021-11-10,MIN @ GSW,28,26,30,26,31,38,24,30
47,ext,2021-11-08,MIN @ MEM,34,20,38,23,34,24,23,32
48,home,2021-11-05,MIN vs. LAC,33,24,15,12,23,24,28,29
49,home,2021-11-03,MIN vs. LAC,23,31,34,27,27,31,45,23
50,home,2021-11-01,MIN vs. ORL,32,26,20,19,26,27,19,43
51,home,2021-10-30,MIN vs. DEN,32,15,26,18,23,20,26,24
52,ext,2021-10-27,MIN @ MIL,44,22,28,19,34,24,21,29
53,home,2021-10-25,MIN vs. NOP,19,24,30,25,25,29,26,27
54,home,2021-10-23,MIN vs. NOP,28,26,15,27,27,14,26,22
55,home,2021-10-20,MIN vs. HOU,32,40,27,25,21,24,26,35
56,ext,2021-10-14,MIN @ BKN,30,19,26,26,27,30,27,23
57,ext,2021-10-11,MIN @ LAC,27,40,29,32,30,27,22,21
58,ext,2021-10-08,MIN @ DEN,19,28,29,28,26,23,34,18
59,home,2021-10-04,MIN vs. NOP,25,40,29,23,28,17,33,36
60,home,2021-08-17,MIN vs. NOP,13,9,25,12,16,25,30,16
61,ext,2021-08-15,MIN @ PHI,18,23,23,27,20,24,19,28
62,ext,2021-08-13,MIN @ MIL,26,27,16,24,18,14,20,12
63,home,2021-08-12,MIN vs. CHI,15,15,28,20,14,18,15,12
