,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,home,2022-02-10,NOP vs. MIA,24,31,18,24,27,29,27,29
2,home,2022-02-08,NOP vs. HOU,35,29,22,24,30,23,26,21
3,ext,2022-02-06,NOP @ HOU,26,23,38,33,21,33,23,30
4,ext,2022-02-04,NOP @ DEN,27,24,31,31,29,23,30,23
5,ext,2022-02-01,NOP @ DET,31,26,27,27,33,32,22,14
6,ext,2022-01-31,NOP @ CLE,19,20,27,24,17,21,22,33
7,home,2022-01-29,NOP vs. BOS,15,19,36,27,27,25,26,29
8,home,2022-01-28,NOP vs. DEN,17,31,30,27,26,24,36,30
9,ext,2022-01-25,NOP @ PHI,24,34,28,21,20,30,36,31
10,home,2022-01-24,NOP vs. IND,31,30,22,34,32,30,17,34
11,ext,2022-01-20,NOP @ NYK,27,19,35,21,17,25,15,34
12,ext,2022-01-17,NOP @ BOS,29,17,23,23,18,21,32,33
13,ext,2022-01-15,NOP @ BKN,22,19,36,28,32,37,26,25
14,home,2022-01-13,NOP vs. LAC,28,25,34,26,15,19,29,26
15,home,2022-01-11,NOP vs. MIN,35,30,32,31,36,23,30,36
16,ext,2022-01-09,NOP @ TOR,26,22,29,24,27,22,30,26
17,home,2022-01-06,NOP vs. GSW,16,31,28,26,22,24,26,24
18,home,2022-01-04,NOP vs. PHX,31,23,30,26,42,22,31,28
19,home,2022-01-03,NOP vs. UTA,24,25,30,27,23,29,30,33
20,ext,2022-01-01,NOP @ MIL,24,32,26,31,27,37,32,40
21,home,2021-12-28,NOP vs. CLE,20,28,28,32,39,19,25,21
22,ext,2021-12-26,NOP @ OKC,18,31,32,31,32,25,32,28
23,ext,2021-12-23,NOP @ ORL,32,23,28,27,17,26,35,26
24,home,2021-12-21,NOP vs. POR,24,27,30,30,21,28,29,19
25,home,2021-12-17,NOP vs. MIL,21,31,25,26,28,21,28,26
26,ext,2021-12-15,NOP @ OKC,24,21,30,38,28,23,27,32
27,ext,2021-12-12,NOP @ SAS,26,26,30,15,28,26,29,29
28,home,2021-12-10,NOP vs. DET,25,29,29,26,32,23,12,26
29,home,2021-12-08,NOP vs. DEN,33,24,20,28,35,29,16,25
30,ext,2021-12-05,NOP @ HOU,26,23,36,23,28,29,37,24
31,ext,2021-12-03,NOP @ DAL,14,30,35,28,19,29,20,23
32,home,2021-12-01,NOP vs. DAL,23,23,29,32,41,26,35,37
33,ext,2021-11-29,NOP @ LAC,37,30,23,33,22,30,26,26
34,ext,2021-11-27,NOP @ UTA,23,22,22,38,37,27,32,31
35,ext,2021-11-26,NOP @ UTA,23,23,29,26,28,17,30,22
36,home,2021-11-24,NOP vs. WAS,36,36,23,32,27,23,23,29
37,home,2021-11-22,NOP vs. MIN,29,21,19,27,28,38,25,21
38,ext,2021-11-20,NOP @ IND,19,27,18,30,32,26,38,15
39,home,2021-11-19,NOP vs. LAC,16,27,29,22,29,26,14,12
40,ext,2021-11-17,NOP @ MIA,34,18,18,28,21,26,34,32
41,ext,2021-11-15,NOP @ WAS,25,33,22,20,25,16,32,32
42,home,2021-11-13,NOP vs. MEM,35,27,21,29,22,22,28,29
43,home,2021-11-12,NOP vs. BKN,25,34,24,29,33,33,29,25
44,home,2021-11-10,NOP vs. OKC,29,19,23,29,28,28,29,23
45,ext,2021-11-08,NOP @ DAL,27,20,22,23,22,29,27,30
46,ext,2021-11-05,NOP @ GSW,31,19,16,19,38,16,34,38
47,ext,2021-11-03,NOP @ SAC,26,26,35,12,27,29,36,20
48,ext,2021-11-02,NOP @ PHX,36,23,23,18,22,26,28,36
49,home,2021-10-30,NOP vs. NYK,28,31,24,34,34,29,25,35
50,home,2021-10-29,NOP vs. SAC,26,22,24,37,33,26,18,36
51,home,2021-10-27,NOP vs. ATL,33,26,18,22,19,34,31,18
52,ext,2021-10-25,NOP @ MIN,25,29,26,27,19,24,30,25
53,ext,2021-10-23,NOP @ MIN,27,14,26,22,28,26,15,27
54,ext,2021-10-22,NOP @ CHI,17,30,28,37,28,37,27,36
55,home,2021-10-20,NOP vs. PHI,25,28,17,27,29,24,30,36
56,ext,2021-10-11,NOP @ UTA,22,24,19,31,28,35,32,32
57,ext,2021-10-08,NOP @ CHI,17,21,19,28,30,36,33,25
58,home,2021-10-06,NOP vs. ORL,18,34,20,32,26,25,17,18
59,ext,2021-10-04,NOP @ MIN,28,17,33,36,25,40,29,23
60,ext,2021-08-17,NOP @ MIN,16,25,30,16,13,9,25,12
61,home,2021-08-15,NOP vs. GSW,7,17,14,18,18,19,16,23
62,ext,2021-08-13,NOP @ CLE,13,21,25,21,17,16,18,23
63,home,2021-08-11,NOP vs. OKC,22,9,18,21,17,18,14,16
