,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,ext,2022-02-10,NYK @ GSW,33,24,31,28,28,34,20,32
2,ext,2022-02-08,NYK @ DEN,36,24,34,21,40,43,28,21
3,ext,2022-02-07,NYK @ UTA,28,29,29,18,28,31,23,31
4,ext,2022-02-05,NYK @ LAL,42,29,13,27,29,27,31,24
5,home,2022-02-02,NYK vs. MEM,27,25,27,29,35,29,28,28
6,home,2022-01-31,NYK vs. SAC,31,23,30,32,23,18,25,30
7,ext,2022-01-28,NYK @ MIL,30,33,25,20,39,28,29,30
8,ext,2022-01-26,NYK @ MIA,16,30,21,29,30,29,33,18
9,ext,2022-01-24,NYK @ CLE,23,27,19,24,28,22,26,19
10,home,2022-01-23,NYK vs. LAC,39,27,25,19,31,30,20,21
11,home,2022-01-20,NYK vs. NOP,17,25,15,34,27,19,35,21
12,home,2022-01-18,NYK vs. MIN,23,28,40,19,30,31,25,26
13,home,2022-01-17,NYK vs. CHA,23,21,23,20,34,28,24,11
14,ext,2022-01-15,NYK @ ATL,31,34,20,32,28,23,26,31
15,home,2022-01-12,NYK vs. DAL,30,26,28,24,21,24,21,19
16,home,2022-01-10,NYK vs. SAS,23,28,31,29,26,23,26,21
17,ext,2022-01-08,NYK @ BOS,26,16,18,15,21,23,32,23
18,home,2022-01-06,NYK vs. BOS,18,29,30,31,25,38,21,21
19,home,2022-01-04,NYK vs. IND,32,25,29,20,25,30,22,17
20,ext,2022-01-02,NYK @ TOR,27,18,29,31,30,26,40,24
21,ext,2021-12-31,NYK @ OKC,20,29,16,15,23,28,23,21
22,ext,2021-12-29,NYK @ DET,23,25,16,30,20,21,30,14
23,ext,2021-12-28,NYK @ MIN,29,15,28,24,22,19,21,26
24,home,2021-12-25,NYK vs. ATL,30,31,20,20,21,30,15,21
25,home,2021-12-23,NYK vs. WAS,27,37,22,31,31,26,33,34
26,home,2021-12-21,NYK vs. DET,24,24,32,25,17,20,32,22
27,ext,2021-12-18,NYK @ BOS,18,29,41,19,32,30,24,28
28,ext,2021-12-16,NYK @ HOU,39,18,27,32,30,21,31,21
29,home,2021-12-14,NYK vs. GSW,24,24,16,32,24,23,24,34
30,home,2021-12-12,NYK vs. MIL,16,32,31,18,26,35,32,19
31,ext,2021-12-10,NYK @ TOR,14,28,23,22,31,19,19,21
32,ext,2021-12-08,NYK @ IND,29,28,19,26,36,34,26,26
33,ext,2021-12-07,NYK @ SAS,28,34,33,26,28,31,25,28
34,home,2021-12-04,NYK vs. DEN,25,24,22,28,30,30,32,21
35,home,2021-12-02,NYK vs. CHI,19,32,32,32,37,32,20,30
36,ext,2021-11-30,NYK @ BKN,28,33,23,26,33,27,28,24
37,ext,2021-11-27,NYK @ ATL,28,23,34,16,27,23,24,16
38,home,2021-11-26,NYK vs. PHX,27,17,27,26,33,24,31,30
39,home,2021-11-23,NYK vs. LAL,36,27,20,23,20,31,30,19
40,ext,2021-11-21,NYK @ CHI,20,25,31,29,25,26,21,37
41,home,2021-11-20,NYK vs. HOU,13,34,25,34,21,26,26,26
42,home,2021-11-17,NYK vs. ORL,23,26,18,31,21,29,22,32
43,home,2021-11-15,NYK vs. IND,16,32,21,23,20,29,25,10
44,ext,2021-11-12,NYK @ CHA,34,21,21,20,18,28,34,24
45,home,2021-11-10,NYK vs. MIL,22,20,24,34,31,20,31,30
46,ext,2021-11-08,NYK @ PHI,28,30,14,31,21,23,25,27
47,home,2021-11-07,NYK vs. CLE,30,27,18,34,29,27,33,37
48,ext,2021-11-05,NYK @ MIL,19,37,32,25,38,25,20,15
49,ext,2021-11-03,NYK @ IND,22,28,25,23,36,23,21,31
50,home,2021-11-01,NYK vs. TOR,34,23,22,25,26,27,38,22
51,ext,2021-10-30,NYK @ NOP,34,29,25,35,28,31,24,34
52,ext,2021-10-28,NYK @ CHI,27,28,27,22,25,26,22,30
53,home,2021-10-26,NYK vs. PHI,23,39,28,22,26,16,30,27
54,home,2021-10-24,NYK vs. ORL,29,28,23,24,27,25,22,36
55,ext,2021-10-22,NYK @ ORL,36,29,21,35,16,19,29,32
56,home,2021-10-20,NYK vs. BOS,29,25,32,30,35,23,24,34
57,home,2021-10-15,NYK vs. WAS,15,34,Not Found,40,26,34,Not Found,23
58,home,2021-10-13,NYK vs. DET,20,32,30,26,26,32,21,23
59,ext,2021-10-09,NYK @ WAS,35,24,36,22,30,25,21,23
60,home,2021-10-05,NYK vs. IND,36,31,34,24,26,29,25,24
61,home,2021-08-16,NYK vs. ATL,27,26,20,31,27,15,20,23
62,home,2021-08-14,NYK vs. CLE,22,38,21,22,21,29,15,29
63,ext,2021-08-13,NYK @ DET,13,18,17,39,25,11,28,29
64,ext,2021-08-11,NYK @ LAL,25,15,18,33,20,13,24,25
65,ext,2021-08-09,NYK @ IND,18,23,26,27,24,20,18,24
