,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,home,2022-02-09,OKC vs. TOR,22,29,21,26,34,25,28,30
2,home,2022-02-07,OKC vs. GSW,23,23,26,26,20,36,29,25
3,ext,2022-02-05,OKC @ SAC,30,27,22,24,36,28,25,24
4,ext,2022-02-04,OKC @ POR,21,25,29,21,19,31,28,17
5,ext,2022-02-02,OKC @ DAL,30,21,34,18,28,23,25,27
6,home,2022-01-31,OKC vs. POR,19,20,26,35,31,16,14,20
7,home,2022-01-28,OKC vs. IND,30,24,26,20,29,22,22,27
8,home,2022-01-24,OKC vs. CHI,27,21,30,32,35,23,34,22
9,ext,2022-01-22,OKC @ CLE,22,23,23,19,24,23,31,16
10,ext,2022-01-21,OKC @ CHA,20,32,23,23,37,32,24,28
11,ext,2022-01-19,OKC @ SAS,22,29,27,18,32,37,37,12
12,ext,2022-01-17,OKC @ DAL,24,18,30,30,33,20,24,27
13,home,2022-01-15,OKC vs. CLE,32,24,29,17,24,22,37,24
14,ext,2022-01-13,OKC @ BKN,38,32,30,32,26,25,32,26
15,ext,2022-01-11,OKC @ WAS,31,30,32,25,30,28,36,28
16,home,2022-01-09,OKC vs. DEN,23,26,29,17,36,25,19,19
17,home,2022-01-07,OKC vs. MIN,28,29,23,25,32,41,30,32
18,ext,2022-01-05,OKC @ MIN,10,26,27,27,30,19,20,29
19,home,2022-01-02,OKC vs. DAL,22,17,25,22,26,25,22,22
20,home,2021-12-31,OKC vs. NYK,23,28,23,21,20,29,16,15
21,ext,2021-12-29,OKC @ PHX,23,29,29,16,33,27,25,30
22,ext,2021-12-28,OKC @ SAC,34,26,24,30,32,29,26,30
23,home,2021-12-26,OKC vs. NOP,32,25,32,28,18,31,32,31
24,ext,2021-12-23,OKC @ PHX,17,31,21,32,29,16,37,34
25,home,2021-12-22,OKC vs. DEN,28,32,28,20,18,34,14,28
26,ext,2021-12-20,OKC @ MEM,16,31,27,28,28,22,22,27
27,home,2021-12-18,OKC vs. LAC,24,33,24,23,19,33,27,24
28,home,2021-12-15,OKC vs. NOP,28,23,27,32,24,21,30,38
29,home,2021-12-12,OKC vs. DAL,27,19,25,13,28,28,24,23
30,home,2021-12-10,OKC vs. LAL,18,27,23,27,32,32,29,23
31,ext,2021-12-08,OKC @ TOR,26,28,33,23,36,28,12,33
32,ext,2021-12-06,OKC @ DET,28,22,22,42,37,26,18,22
33,ext,2021-12-02,OKC @ MEM,16,20,26,17,31,41,41,39
34,home,2021-12-01,OKC vs. HOU,26,34,21,29,24,29,20,41
35,ext,2021-11-29,OKC @ HOU,23,14,25,29,28,18,26,30
36,home,2021-11-26,OKC vs. WAS,27,27,14,31,25,31,20,25
37,home,2021-11-24,OKC vs. UTA,25,27,28,24,21,28,32,29
38,ext,2021-11-22,OKC @ ATL,27,33,11,30,32,34,27,20
39,ext,2021-11-20,OKC @ BOS,23,22,29,31,30,28,31,22
40,ext,2021-11-19,OKC @ MIL,24,23,21,21,34,24,22,16
41,home,2021-11-17,OKC vs. HOU,22,31,27,21,19,22,23,25
42,home,2021-11-15,OKC vs. MIA,24,19,24,23,23,20,31,29
43,home,2021-11-14,OKC vs. BKN,25,23,26,22,30,31,29,30
44,home,2021-11-12,OKC vs. SAC,16,32,29,28,23,39,24,17
45,ext,2021-11-10,OKC @ NOP,28,28,29,23,29,19,23,29
46,home,2021-11-07,OKC vs. SAS,14,31,37,20,28,27,14,25
47,ext,2021-11-04,OKC @ LAL,21,27,24,35,25,27,28,24
48,ext,2021-11-01,OKC @ LAC,23,21,30,20,14,26,26,33
49,ext,2021-10-30,OKC @ GSW,20,24,17,24,28,27,27,21
50,home,2021-10-27,OKC vs. LAL,19,37,41,29,41,31,23,20
51,home,2021-10-26,OKC vs. GSW,34,25,17,22,29,19,33,25
52,home,2021-10-24,OKC vs. PHI,26,25,27,25,36,23,28,28
53,ext,2021-10-22,OKC @ HOU,21,26,26,18,34,35,31,24
54,ext,2021-10-20,OKC @ UTA,18,24,21,25,27,27,29,24
55,home,2021-10-14,OKC vs. DEN,30,20,33,19,26,30,21,25
56,home,2021-10-13,OKC vs. DEN,29,24,31,24,23,25,24,27
57,ext,2021-10-10,OKC @ MIL,32,22,27,29,48,36,23,26
58,home,2021-10-04,OKC vs. CHA,18,27,26,26,34,33,24,22
59,home,2021-08-16,OKC vs. SAS,26,33,27,30,16,21,27,27
60,home,2021-08-14,OKC vs. IND,14,18,18,11,15,28,24,28
61,home,2021-08-13,OKC vs. GSW,32,20,20,12,27,24,20,23
62,ext,2021-08-11,OKC @ NOP,17,18,14,16,22,9,18,21
