,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,ext,2022-02-08,ORL @ POR,32,30,21,30,28,19,32,16
2,home,2022-02-06,ORL vs. BOS,15,24,22,22,21,28,29,38
3,home,2022-02-05,ORL vs. MEM,24,32,25,34,37,39,32,27
4,ext,2022-02-02,ORL @ IND,28,25,33,33,34,33,21,30
5,ext,2022-02-01,ORL @ CHI,33,30,31,21,34,36,33,23
6,home,2022-01-30,ORL vs. DAL,23,41,27,19,34,28,29,20
7,home,2022-01-28,ORL vs. DET,39,28,25,27,19,32,24,28
8,home,2022-01-26,ORL vs. LAC,25,23,30,24,23,26,27,35
9,home,2022-01-23,ORL vs. CHI,23,30,32,29,19,18,37,21
10,home,2022-01-21,ORL vs. LAL,27,35,16,27,24,30,31,31
11,ext,2022-01-19,ORL @ PHI,21,36,23,30,25,22,47,29
12,home,2022-01-17,ORL vs. POR,17,23,21,27,22,32,27,17
13,ext,2022-01-15,ORL @ DAL,23,20,25,24,32,23,30,23
14,ext,2022-01-14,ORL @ CHA,35,26,27,28,36,27,28,18
15,ext,2022-01-12,ORL @ WAS,16,27,29,34,33,19,32,28
16,home,2022-01-09,ORL vs. WAS,26,23,22,29,20,22,25,35
17,ext,2022-01-08,ORL @ DET,26,19,28,19,31,21,21,24
18,home,2022-01-05,ORL vs. PHI,33,26,30,17,33,29,26,28
19,ext,2022-01-03,ORL @ CHI,21,19,26,32,15,30,24,33
20,ext,2022-01-02,ORL @ BOS,19,23,35,23,28,17,20,35
21,home,2021-12-30,ORL vs. MIL,24,27,36,33,32,31,33,40
22,home,2021-12-28,ORL vs. MIL,24,21,37,28,32,40,25,30
23,ext,2021-12-26,ORL @ MIA,24,15,21,23,22,20,30,21
24,home,2021-12-23,ORL vs. NOP,17,26,35,26,32,23,28,27
25,ext,2021-12-22,ORL @ ATL,22,25,23,34,20,17,24,37
26,ext,2021-12-18,ORL @ BKN,26,24,24,26,17,27,22,27
27,home,2021-12-17,ORL vs. MIA,22,35,26,22,31,35,27,22
28,home,2021-12-15,ORL vs. ATL,25,25,23,26,27,37,29,18
29,ext,2021-12-12,ORL @ LAL,25,27,10,32,18,31,36,21
30,ext,2021-12-11,ORL @ LAC,30,14,31,29,23,26,29,28
31,ext,2021-12-08,ORL @ SAC,36,31,28,38,38,32,34,38
32,ext,2021-12-06,ORL @ GSW,26,18,35,16,31,34,33,28
33,ext,2021-12-03,ORL @ HOU,24,32,27,35,31,23,30,34
34,home,2021-12-01,ORL vs. DEN,15,32,32,29,29,34,20,20
35,ext,2021-11-29,ORL @ PHI,19,24,35,18,31,23,27,20
36,ext,2021-11-27,ORL @ CLE,22,27,20,23,27,27,24,27
37,home,2021-11-26,ORL vs. CHI,27,19,23,19,27,28,35,33
38,home,2021-11-24,ORL vs. CHA,28,21,28,25,24,28,30,24
39,ext,2021-11-22,ORL @ MIL,16,20,20,36,36,41,28,18
40,ext,2021-11-20,ORL @ MIL,24,26,21,37,36,26,34,21
41,ext,2021-11-19,ORL @ BKN,41,21,21,30,25,28,37,25
42,ext,2021-11-17,ORL @ NYK,21,29,22,32,23,26,18,31
43,ext,2021-11-15,ORL @ ATL,31,25,28,27,30,30,33,36
44,home,2021-11-13,ORL vs. WAS,18,19,22,35,28,22,32,22
45,home,2021-11-10,ORL vs. BKN,23,30,22,15,28,37,29,29
46,home,2021-11-07,ORL vs. UTA,28,22,25,32,15,37,33,15
47,home,2021-11-05,ORL vs. SAS,20,16,26,27,30,19,23,30
48,home,2021-11-03,ORL vs. BOS,28,18,10,23,26,18,31,17
49,ext,2021-11-01,ORL @ MIN,26,27,19,43,32,26,20,19
50,ext,2021-10-30,ORL @ DET,20,27,26,30,25,23,34,28
51,ext,2021-10-29,ORL @ TOR,20,31,27,31,23,31,23,33
52,home,2021-10-27,ORL vs. CHA,31,30,32,18,31,33,27,29
53,ext,2021-10-25,ORL @ MIA,15,29,26,20,27,30,24,26
54,ext,2021-10-24,ORL @ NYK,27,25,22,36,29,28,23,24
55,home,2021-10-22,ORL vs. NYK,16,19,29,32,36,29,21,35
56,ext,2021-10-20,ORL @ SAS,28,21,22,26,32,29,33,32
57,home,2021-10-13,ORL vs. BOS,24,30,19,30,26,30,23,23
58,home,2021-10-10,ORL vs. SAS,17,23,24,36,28,21,32,20
59,ext,2021-10-06,ORL @ NOP,26,25,17,18,18,34,20,32
60,ext,2021-10-04,ORL @ BOS,20,32,24,21,21,29,21,27
61,home,2021-08-16,ORL vs. DET,15,24,18,24,25,19,13,21
62,ext,2021-08-15,ORL @ HOU,23,26,19,21,19,26,18,13
63,ext,2021-08-12,ORL @ BOS,16,15,11,29,25,25,26,32
64,home,2021-08-11,ORL vs. CLE,23,19,13,29,22,23,25,24
