,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,home,2022-02-08,PHI vs. PHX,25,34,25,25,29,26,28,31
2,ext,2022-02-06,PHI @ CHI,34,27,28,30,26,26,29,27
3,ext,2022-02-04,PHI @ DAL,33,30,15,20,24,29,32,22
4,home,2022-02-02,PHI vs. WAS,28,26,25,24,29,30,22,25
5,home,2022-01-31,PHI vs. MEM,39,24,21,27,30,28,22,32
6,home,2022-01-29,PHI vs. SAC,27,23,31,22,31,30,22,18
7,home,2022-01-27,PHI vs. LAL,32,22,34,17,22,26,20,19
8,home,2022-01-25,PHI vs. NOP,20,30,36,31,24,34,28,21
9,ext,2022-01-23,PHI @ SAS,29,30,29,29,23,24,30,32
10,home,2022-01-21,PHI vs. LAC,17,37,26,21,24,16,30,32
11,home,2022-01-19,PHI vs. ORL,25,22,47,29,21,36,23,30
12,ext,2022-01-17,PHI @ WAS,29,26,28,15,38,23,30,26
13,ext,2022-01-15,PHI @ MIA,20,23,32,37,29,21,23,25
14,home,2022-01-14,PHI vs. BOS,32,23,28,28,14,21,31,33
15,home,2022-01-12,PHI vs. CHA,35,15,26,22,34,30,21,24
16,ext,2022-01-10,PHI @ HOU,36,26,29,20,27,23,22,19
17,home,2022-01-07,PHI vs. SAS,39,32,26,22,19,34,27,20
18,ext,2022-01-05,PHI @ ORL,33,29,26,28,33,26,30,17
19,home,2022-01-03,PHI vs. HOU,34,28,41,30,30,35,29,21
20,ext,2021-12-30,PHI @ BKN,39,16,29,26,31,23,28,20
21,ext,2021-12-28,PHI @ TOR,27,28,30,29,24,24,33,28
22,ext,2021-12-26,PHI @ WAS,25,38,29,25,31,24,17,24
23,home,2021-12-23,PHI vs. ATL,18,33,24,21,32,19,28,19
24,ext,2021-12-20,PHI @ BOS,28,23,24,33,20,29,31,23
25,ext,2021-12-16,PHI @ BKN,25,23,31,26,39,27,19,29
26,home,2021-12-15,PHI vs. MIA,18,31,21,26,29,29,23,20
27,ext,2021-12-13,PHI @ MEM,30,26,19,16,37,31,33,25
28,home,2021-12-11,PHI vs. GSW,23,23,24,32,22,27,24,20
29,home,2021-12-09,PHI vs. UTA,32,22,22,20,27,34,27,30
30,ext,2021-12-08,PHI @ CHA,26,25,33,28,26,27,28,25
31,ext,2021-12-06,PHI @ CHA,23,44,28,24,34,28,34,28
32,ext,2021-12-03,PHI @ ATL,31,13,34,20,22,30,35,9
33,ext,2021-12-01,PHI @ BOS,20,20,23,24,21,23,20,24
34,home,2021-11-29,PHI vs. ORL,31,23,27,20,19,24,35,18
35,home,2021-11-27,PHI vs. MIN,20,21,29,30,35,23,16,28
36,ext,2021-11-24,PHI @ GSW,34,27,23,12,23,29,34,30
37,ext,2021-11-22,PHI @ SAC,28,27,22,25,33,19,30,12
38,ext,2021-11-20,PHI @ POR,25,21,32,33,30,25,31,32
39,ext,2021-11-18,PHI @ DEN,24,34,29,16,23,29,17,20
40,ext,2021-11-16,PHI @ UTA,28,19,19,19,30,33,34,23
41,ext,2021-11-13,PHI @ IND,25,35,22,31,32,38,24,24
42,home,2021-11-11,PHI vs. TOR,30,27,21,31,27,25,29,34
43,home,2021-11-09,PHI vs. MIL,39,19,35,16,30,31,30,27
44,home,2021-11-08,PHI vs. NYK,21,23,25,27,28,30,14,31
45,ext,2021-11-06,PHI @ CHI,22,35,27,30,21,26,30,28
46,ext,2021-11-04,PHI @ DET,31,32,23,23,32,37,16,16
47,home,2021-11-03,PHI vs. CHI,29,29,26,19,19,25,28,28
48,home,2021-11-01,PHI vs. POR,27,27,32,27,21,32,28,22
49,home,2021-10-30,PHI vs. ATL,28,32,29,33,15,31,23,25
50,home,2021-10-28,PHI vs. DET,21,31,27,31,22,24,21,35
51,ext,2021-10-26,PHI @ NYK,26,16,30,27,23,39,28,22
52,ext,2021-10-24,PHI @ OKC,36,23,28,28,26,25,27,25
53,home,2021-10-22,PHI vs. BKN,34,28,29,18,28,27,30,29
54,ext,2021-10-20,PHI @ NOP,29,24,30,36,25,28,17,27
55,ext,2021-10-15,PHI @ DET,26,29,29,26,29,37,25,21
56,home,2021-10-11,PHI vs. BKN,37,31,32,15,25,24,24,31
57,home,2021-10-07,PHI vs. TOR,27,44,27,27,22,33,25,33
58,ext,2021-10-04,PHI @ TOR,25,29,23,30,28,41,33,23
59,home,2021-08-17,PHI vs. UTA,25,21,26,31,24,25,20,29
60,home,2021-08-15,PHI vs. MIN,20,24,19,28,18,23,23,27
61,ext,2021-08-14,PHI @ BOS,21,18,14,27,28,20,30,22
62,ext,2021-08-12,PHI @ ATL,14,21,29,22,23,20,21,22
