,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,home,2022-02-10,PHX vs. MIL,31,33,33,34,34,22,21,30
2,ext,2022-02-08,PHX @ PHI,29,26,28,31,25,34,25,25
3,ext,2022-02-07,PHX @ CHI,36,31,35,25,29,20,34,41
4,ext,2022-02-05,PHX @ WAS,33,26,26,10,21,11,19,29
5,ext,2022-02-03,PHX @ ATL,30,31,30,24,32,32,36,24
6,home,2022-02-01,PHX vs. BKN,39,26,26,30,29,29,24,29
7,home,2022-01-30,PHX vs. SAS,23,27,29,36,31,24,36,19
8,home,2022-01-28,PHX vs. MIN,40,34,26,34,32,34,27,31
9,ext,2022-01-26,PHX @ UTA,39,11,24,31,18,30,16,33
10,home,2022-01-24,PHX vs. UTA,31,27,27,30,21,35,31,22
11,home,2022-01-22,PHX vs. IND,24,35,33,21,25,29,20,29
12,ext,2022-01-20,PHX @ DAL,22,23,29,35,26,27,32,19
13,ext,2022-01-17,PHX @ SAS,32,27,28,34,29,27,35,19
14,ext,2022-01-16,PHX @ DET,39,25,39,32,35,19,28,26
15,ext,2022-01-14,PHX @ IND,23,25,34,32,19,19,38,18
16,ext,2022-01-11,PHX @ TOR,23,23,23,30,31,17,23,24
17,home,2022-01-08,PHX vs. MIA,29,21,29,21,33,38,27,25
18,home,2022-01-06,PHX vs. LAC,21,35,19,31,20,20,26,23
19,ext,2022-01-04,PHX @ NOP,42,22,31,28,31,23,30,26
20,ext,2022-01-02,PHX @ CHA,36,37,33,27,27,20,27,25
21,ext,2021-12-31,PHX @ BOS,20,21,36,31,32,35,33,23
22,home,2021-12-29,PHX vs. OKC,33,27,25,30,23,29,29,16
23,home,2021-12-27,PHX vs. MEM,24,24,27,38,25,35,29,25
24,home,2021-12-25,PHX vs. GSW,27,35,22,23,33,25,26,32
25,home,2021-12-23,PHX vs. OKC,29,16,37,34,17,31,21,32
26,ext,2021-12-21,PHX @ LAL,24,30,31,23,25,27,21,17
27,home,2021-12-19,PHX vs. CHA,37,32,39,29,15,32,33,26
28,home,2021-12-16,PHX vs. WAS,31,31,27,29,23,27,21,27
29,ext,2021-12-14,PHX @ POR,32,17,24,29,21,22,32,27
30,ext,2021-12-13,PHX @ LAC,21,23,25,26,27,29,23,32
31,home,2021-12-10,PHX vs. BOS,25,32,27,27,24,15,30,21
32,home,2021-12-06,PHX vs. SAS,26,25,28,29,33,17,22,34
33,ext,2021-12-03,PHX @ GSW,21,27,20,28,28,23,29,38
34,home,2021-12-02,PHX vs. DET,30,39,18,27,18,33,30,22
35,home,2021-11-30,PHX vs. GSW,31,25,24,24,35,19,24,18
36,ext,2021-11-27,PHX @ BKN,34,22,36,23,20,26,26,35
37,ext,2021-11-26,PHX @ NYK,33,24,31,30,27,17,27,26
38,ext,2021-11-24,PHX @ CLE,36,25,26,33,33,33,20,29
39,ext,2021-11-22,PHX @ SAS,24,33,33,25,20,24,31,36
40,home,2021-11-21,PHX vs. DEN,48,25,27,26,28,32,18,19
41,home,2021-11-19,PHX vs. DAL,27,28,24,33,24,27,33,20
42,home,2021-11-17,PHX vs. DAL,25,20,23,37,22,24,27,25
43,ext,2021-11-15,PHX @ MIN,18,22,26,33,21,18,23,34
44,ext,2021-11-14,PHX @ HOU,27,24,29,35,23,21,19,26
45,ext,2021-11-12,PHX @ MEM,36,26,30,27,23,20,21,30
46,home,2021-11-10,PHX vs. POR,27,33,27,32,26,22,30,32
47,ext,2021-11-08,PHX @ SAC,34,33,31,11,28,36,12,28
48,home,2021-11-06,PHX vs. ATL,25,34,27,35,26,32,40,19
49,home,2021-11-04,PHX vs. HOU,36,20,37,30,30,31,25,25
50,home,2021-11-02,PHX vs. NOP,22,26,28,36,36,23,23,18
51,home,2021-10-30,PHX vs. CLE,24,26,28,23,31,15,19,27
52,home,2021-10-27,PHX vs. SAC,29,32,15,31,23,30,29,28
53,ext,2021-10-23,PHX @ POR,24,23,34,24,30,37,39,30
54,ext,2021-10-22,PHX @ LAL,23,34,37,21,26,18,23,38
55,home,2021-10-20,PHX vs. DEN,20,38,24,16,26,25,34,25
56,home,2021-10-13,PHX vs. POR,23,36,34,26,11,27,22,14
57,ext,2021-10-10,PHX @ LAL,28,23,37,35,18,26,20,30
58,home,2021-10-06,PHX vs. LAL,27,35,40,15,21,24,29,31
59,ext,2021-10-04,PHX @ SAC,23,24,24,35,30,34,29,27
60,home,2021-08-16,PHX vs. CLE,20,15,27,23,18,25,21,26
61,home,2021-08-14,PHX vs. POR,20,19,20,20,15,21,18,16
62,ext,2021-08-12,PHX @ DEN,20,21,26,23,21,18,24,17
63,ext,2021-08-09,PHX @ UTA,11,16,12,18,11,25,12,15
