,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,home,2022-02-09,POR vs. LAL,18,29,29,31,18,36,24,27
2,home,2022-02-08,POR vs. ORL,28,19,32,16,32,30,21,30
3,home,2022-02-05,POR vs. MIL,26,28,21,33,34,36,37,30
4,home,2022-02-04,POR vs. OKC,19,31,28,17,21,25,29,21
5,ext,2022-02-02,POR @ LAL,16,37,24,19,28,26,18,27
6,ext,2022-01-31,POR @ OKC,31,16,14,20,19,20,26,35
7,ext,2022-01-30,POR @ CHI,35,30,27,24,29,44,31,26
8,ext,2022-01-28,POR @ HOU,32,34,25,34,20,33,32,25
9,home,2022-01-26,POR vs. DAL,25,34,23,31,40,28,30,34
10,home,2022-01-25,POR vs. MIN,29,34,19,25,26,29,29,25
11,ext,2022-01-23,POR @ TOR,33,31,22,28,15,19,33,38
12,ext,2022-01-21,POR @ BOS,30,24,29,26,25,33,24,23
13,ext,2022-01-19,POR @ MIA,26,30,24,12,23,35,20,26
14,ext,2022-01-17,POR @ ORL,22,32,27,17,17,23,21,27
15,ext,2022-01-15,POR @ WAS,29,39,26,21,24,33,23,30
16,ext,2022-01-13,POR @ DEN,28,27,25,28,41,31,29,39
17,home,2022-01-10,POR vs. BKN,33,22,32,27,26,36,19,27
18,home,2022-01-09,POR vs. SAC,27,26,29,21,21,19,27,21
19,home,2022-01-07,POR vs. CLE,21,26,31,23,24,33,25,32
20,home,2022-01-05,POR vs. MIA,23,24,33,29,30,28,25,32
21,home,2022-01-03,POR vs. ATL,36,34,30,36,32,33,40,26
22,ext,2021-12-31,POR @ LAL,28,26,23,29,43,26,32,38
23,home,2021-12-29,POR vs. UTA,27,32,26,23,36,33,27,24
24,home,2021-12-27,POR vs. DAL,29,24,31,33,34,38,34,26
25,ext,2021-12-21,POR @ NOP,21,28,29,19,24,27,30,30
26,ext,2021-12-19,POR @ MEM,28,23,26,28,32,20,28,20
27,home,2021-12-17,POR vs. CHA,41,40,22,22,24,31,31,30
28,home,2021-12-15,POR vs. MEM,19,28,35,21,24,31,25,33
29,home,2021-12-14,POR vs. PHX,21,22,32,27,32,17,24,29
30,home,2021-12-12,POR vs. MIN,26,29,29,27,33,23,33,27
31,ext,2021-12-08,POR @ GSW,23,22,21,28,26,21,29,28
32,home,2021-12-06,POR vs. LAC,26,23,25,16,27,21,29,25
33,home,2021-12-04,POR vs. BOS,23,37,26,33,38,26,39,42
34,home,2021-12-02,POR vs. SAS,22,25,18,18,32,36,16,30
35,home,2021-11-30,POR vs. DET,27,27,29,27,21,24,17,30
36,ext,2021-11-29,POR @ UTA,23,26,35,26,21,32,41,35
37,ext,2021-11-26,POR @ GSW,26,18,26,33,27,32,33,27
38,ext,2021-11-24,POR @ SAC,36,38,21,29,32,37,24,32
39,home,2021-11-23,POR vs. DEN,33,33,26,29,27,25,27,21
40,home,2021-11-20,POR vs. PHI,30,25,31,32,25,21,32,33
41,home,2021-11-17,POR vs. CHI,24,24,33,31,33,30,22,22
42,home,2021-11-15,POR vs. TOR,24,37,24,33,33,27,25,28
43,ext,2021-11-14,POR @ DEN,18,35,26,16,33,34,24,33
44,ext,2021-11-12,POR @ HOU,30,25,26,23,27,18,24,25
45,ext,2021-11-10,POR @ PHX,26,22,30,32,27,33,27,32
46,ext,2021-11-09,POR @ LAC,26,29,24,30,33,23,27,34
47,home,2021-11-06,POR vs. LAL,36,15,42,12,14,22,26,28
48,home,2021-11-05,POR vs. IND,24,35,23,28,19,34,30,23
49,ext,2021-11-03,POR @ CLE,26,27,24,27,23,37,27,20
50,ext,2021-11-01,POR @ PHI,21,32,28,22,27,27,32,27
51,ext,2021-10-31,POR @ CHA,29,31,28,25,27,26,36,36
52,home,2021-10-29,POR vs. LAC,25,25,28,35,24,16,27,25
53,home,2021-10-27,POR vs. MEM,24,27,36,29,27,30,20,19
54,ext,2021-10-25,POR @ LAC,17,25,19,25,31,25,35,25
55,home,2021-10-23,POR vs. PHX,30,37,39,30,24,23,34,24
56,home,2021-10-20,POR vs. SAC,23,26,36,36,24,38,38,24
57,ext,2021-10-15,POR @ GSW,27,24,26,20,17,38,43,21
58,ext,2021-10-13,POR @ PHX,11,27,22,14,23,36,34,26
59,home,2021-10-11,POR vs. SAC,17,31,23,22,25,30,26,26
60,home,2021-10-04,POR vs. GSW,25,35,25,22,26,37,40,21
61,home,2021-08-17,POR vs. HOU,25,20,25,22,18,21,24,32
62,ext,2021-08-14,POR @ PHX,15,21,18,16,20,19,20,20
63,home,2021-08-12,POR vs. IND,20,17,7,20,21,23,27,26
64,home,2021-08-10,POR vs. LAC,22,17,25,22,20,16,15,15
