,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,home,2022-02-09,SAC vs. MIN,29,42,28,33,37,27,37,18
2,home,2022-02-08,SAC vs. MIN,35,32,23,24,35,38,29,32
3,home,2022-02-05,SAC vs. OKC,36,28,25,24,30,27,22,24
4,ext,2022-02-03,SAC @ GSW,23,31,29,31,34,39,21,32
5,home,2022-02-02,SAC vs. BKN,23,31,29,29,32,30,24,15
6,ext,2022-01-31,SAC @ NYK,23,18,25,30,31,23,30,32
7,ext,2022-01-29,SAC @ PHI,31,30,22,18,27,23,31,22
8,ext,2022-01-26,SAC @ ATL,33,17,24,30,21,46,27,27
9,ext,2022-01-25,SAC @ BOS,13,17,25,20,38,25,34,31
10,ext,2022-01-22,SAC @ MIL,35,19,32,41,27,35,32,39
11,home,2022-01-19,SAC vs. DET,26,45,32,28,33,33,39,28
12,home,2022-01-16,SAC vs. HOU,21,39,28,24,29,26,30,33
13,home,2022-01-14,SAC vs. HOU,31,34,33,28,40,20,29,25
14,home,2022-01-12,SAC vs. LAL,29,32,40,24,34,33,23,26
15,home,2022-01-10,SAC vs. CLE,22,27,30,29,28,34,22,25
16,ext,2022-01-09,SAC @ POR,21,19,27,21,27,26,29,21
17,ext,2022-01-07,SAC @ DEN,23,31,31,26,35,31,30,25
18,home,2022-01-05,SAC vs. ATL,24,21,30,27,33,21,24,30
19,ext,2022-01-04,SAC @ LAL,31,28,24,33,26,31,28,37
20,home,2022-01-02,SAC vs. MIA,26,35,29,25,18,39,33,23
21,home,2021-12-31,SAC vs. DAL,39,17,20,20,34,28,32,18
22,home,2021-12-29,SAC vs. DAL,20,35,17,23,30,13,26,25
23,home,2021-12-28,SAC vs. OKC,32,29,26,30,34,26,24,30
24,home,2021-12-26,SAC vs. MEM,24,26,27,25,20,29,40,38
25,home,2021-12-22,SAC vs. LAC,20,18,30,21,25,24,25,31
26,ext,2021-12-20,SAC @ GSW,16,30,33,19,26,32,26,29
27,home,2021-12-19,SAC vs. SAS,37,26,28,30,27,29,29,29
28,home,2021-12-17,SAC vs. MEM,31,25,19,30,29,29,33,33
29,home,2021-12-15,SAC vs. WAS,27,29,28,35,32,25,32,16
30,ext,2021-12-13,SAC @ TOR,22,23,24,32,30,40,23,31
31,ext,2021-12-11,SAC @ CLE,23,29,26,25,36,45,20,16
32,ext,2021-12-10,SAC @ CHA,36,37,28,24,37,32,29,26
33,home,2021-12-08,SAC vs. ORL,38,32,34,38,36,31,28,38
34,home,2021-12-04,SAC vs. LAC,29,21,26,28,29,16,25,29
35,ext,2021-12-01,SAC @ LAC,29,33,37,25,21,31,24,39
36,home,2021-11-30,SAC vs. LAL,28,31,15,18,20,30,40,30
37,ext,2021-11-28,SAC @ MEM,25,27,22,27,38,38,30,22
38,ext,2021-11-26,SAC @ LAL,20,23,30,27,20,23,35,22
39,home,2021-11-24,SAC vs. POR,32,37,24,32,36,38,21,29
40,home,2021-11-22,SAC vs. PHI,33,19,30,12,28,27,22,25
41,home,2021-11-20,SAC vs. UTA,28,21,31,25,29,25,30,39
42,home,2021-11-19,SAC vs. TOR,27,18,21,23,30,33,35,12
43,ext,2021-11-17,SAC @ MIN,18,30,24,25,22,22,33,30
44,ext,2021-11-15,SAC @ DET,31,37,24,37,12,32,26,37
45,ext,2021-11-12,SAC @ OKC,23,39,24,17,16,32,29,28
46,ext,2021-11-10,SAC @ SAS,20,34,33,30,34,37,33,32
47,home,2021-11-08,SAC vs. PHX,28,36,12,28,34,33,31,11
48,home,2021-11-07,SAC vs. IND,19,24,24,24,27,21,26,20
49,home,2021-11-05,SAC vs. CHA,41,33,32,34,22,31,36,21
50,home,2021-11-03,SAC vs. NOP,27,29,36,20,26,26,35,12
51,ext,2021-11-02,SAC @ UTA,29,30,28,26,33,25,32,29
52,ext,2021-10-31,SAC @ DAL,22,25,25,27,31,22,29,23
53,ext,2021-10-29,SAC @ NOP,33,26,18,36,26,22,24,37
54,ext,2021-10-27,SAC @ PHX,23,30,29,28,29,32,15,31
55,home,2021-10-24,SAC vs. GSW,31,31,26,19,29,31,30,29
56,home,2021-10-22,SAC vs. UTA,26,26,28,21,24,22,35,29
57,ext,2021-10-20,SAC @ POR,24,38,38,24,23,26,36,36
58,home,2021-10-14,SAC vs. LAL,35,36,21,24,23,42,22,25
59,ext,2021-10-11,SAC @ POR,25,30,26,26,17,31,23,22
60,ext,2021-10-06,SAC @ LAC,28,23,38,24,22,29,17,30
61,home,2021-10-04,SAC vs. PHX,30,34,29,27,23,24,24,35
62,ext,2021-08-17,SAC @ BOS,24,20,26,30,20,16,13,18
63,home,2021-08-15,SAC vs. DAL,22,18,18,28,15,17,21,16
64,home,2021-08-13,SAC vs. MEM,19,23,27,24,13,24,26,12
65,ext,2021-08-10,SAC @ WAS,21,23,29,16,21,18,20,18
66,home,2021-08-09,SAC vs. CHA,16,15,24,25,13,13,17,22
67,home,2021-08-04,SAC vs. LAL,18,16,23,17,15,17,19,33
