,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,ext,2022-02-09,SAS @ CLE,30,18,25,19,29,28,27,21
2,home,2022-02-04,SAS vs. HOU,33,24,40,34,25,29,23,29
3,home,2022-02-03,SAS vs. MIA,19,28,19,29,21,36,31,24
4,home,2022-02-01,SAS vs. GSW,36,33,35,16,30,31,28,35
5,ext,2022-01-30,SAS @ PHX,31,24,36,19,23,27,29,36
6,home,2022-01-28,SAS vs. CHI,29,34,35,33,35,33,25,31
7,home,2022-01-26,SAS vs. MEM,25,33,28,24,34,27,33,24
8,ext,2022-01-25,SAS @ HOU,34,32,39,29,23,28,23,30
9,home,2022-01-23,SAS vs. PHI,23,24,30,32,29,30,29,29
10,home,2022-01-21,SAS vs. BKN,26,25,23,28,24,26,29,38
11,home,2022-01-19,SAS vs. OKC,32,37,37,12,22,29,27,18
12,home,2022-01-17,SAS vs. PHX,29,27,35,19,32,27,28,34
13,home,2022-01-15,SAS vs. LAC,21,35,29,16,22,25,33,14
14,home,2022-01-14,SAS vs. CLE,26,33,27,23,35,29,23,33
15,home,2022-01-12,SAS vs. HOU,36,31,23,34,39,24,28,37
16,ext,2022-01-10,SAS @ NYK,26,23,26,21,23,28,31,29
17,ext,2022-01-09,SAS @ BKN,32,19,38,24,32,28,31,22
18,ext,2022-01-07,SAS @ PHI,19,34,27,20,39,32,26,22
19,ext,2022-01-05,SAS @ BOS,30,28,22,19,30,26,21,20
20,ext,2022-01-04,SAS @ TOR,29,24,28,23,30,38,29,32
21,ext,2022-01-01,SAS @ DET,29,30,22,24,20,32,33,20
22,ext,2021-12-31,SAS @ MEM,26,35,18,26,32,31,27,28
23,home,2021-12-27,SAS vs. UTA,27,16,27,34,34,19,29,28
24,home,2021-12-26,SAS vs. DET,38,40,41,25,30,24,26,29
25,ext,2021-12-23,SAS @ LAL,33,33,39,33,24,31,37,18
26,ext,2021-12-20,SAS @ LAC,35,27,30,24,27,21,17,27
27,ext,2021-12-19,SAS @ SAC,27,29,29,29,37,26,28,30
28,ext,2021-12-17,SAS @ UTA,36,23,41,28,37,36,23,30
29,home,2021-12-15,SAS vs. CHA,31,26,25,33,46,27,37,21
30,home,2021-12-12,SAS vs. NOP,28,26,29,29,26,26,30,15
31,home,2021-12-11,SAS vs. DEN,29,27,18,38,28,44,31,24
32,home,2021-12-09,SAS vs. DEN,37,37,26,23,29,36,25,21
33,home,2021-12-07,SAS vs. NYK,28,31,25,Not Found,28,34,33,Not Found
34,ext,2021-12-06,SAS @ PHX,33,17,22,34,26,25,28,29
35,ext,2021-12-04,SAS @ GSW,36,31,32,13,21,37,30,19
36,ext,2021-12-02,SAS @ POR,32,36,16,30,22,25,18,18
37,home,2021-11-29,SAS vs. WAS,20,25,39,32,20,31,27,21
38,home,2021-11-26,SAS vs. BOS,30,22,18,26,14,23,26,25
39,home,2021-11-24,SAS vs. ATL,27,31,25,23,27,40,38,21
40,home,2021-11-22,SAS vs. PHX,20,24,31,36,24,33,33,25
41,ext,2021-11-18,SAS @ MIN,20,Not Found,25,12,34,Not Found,29,22
42,ext,2021-11-16,SAS @ LAC,Not Found,33,18,21,Not Found,32,26,23
43,ext,2021-11-14,SAS @ LAL,29,26,24,27,34,26,30,24
44,home,2021-11-12,SAS vs. DAL,22,35,20,32,31,37,37,21
45,home,2021-11-10,SAS vs. SAC,34,37,33,32,20,34,33,30
46,ext,2021-11-07,SAS @ OKC,28,27,14,25,14,31,37,20
47,ext,2021-11-05,SAS @ ORL,30,19,23,30,20,16,26,27
48,home,2021-11-03,SAS vs. DAL,28,30,25,25,28,31,22,28
49,ext,2021-11-01,SAS @ IND,33,23,27,35,43,35,31,22
50,ext,2021-10-30,SAS @ MIL,27,18,24,33,24,23,20,26
51,ext,2021-10-28,SAS @ DAL,25,24,30,23,15,32,29,28
52,home,2021-10-26,SAS vs. LAL,29,33,35,17,27,34,24,29
53,home,2021-10-23,SAS vs. MIL,32,20,29,30,32,24,29,36
54,ext,2021-10-22,SAS @ DEN,22,28,20,26,26,27,26,23
55,home,2021-10-20,SAS vs. ORL,32,29,33,32,28,21,22,26
56,home,2021-10-15,SAS vs. HOU,30,35,31,30,21,28,30,19
57,ext,2021-10-10,SAS @ ORL,28,21,32,20,17,23,24,36
58,home,2021-10-08,SAS vs. MIA,17,28,32,28,24,30,24,31
59,ext,2021-10-06,SAS @ DET,22,29,25,29,39,15,30,31
60,home,2021-10-04,SAS vs. UTA,24,25,38,24,18,20,23,24
61,ext,2021-08-16,SAS @ OKC,16,21,27,27,26,33,27,30
62,home,2021-08-15,SAS vs. BKN,30,23,23,24,20,28,29,27
63,ext,2021-08-12,SAS @ CHA,23,31,26,26,16,31,25,23
64,home,2021-08-10,SAS vs. CHI,26,26,17,20,14,23,29,26
65,ext,2021-08-09,SAS @ MIN,Not Found,18,26,25,Not Found,27,18,24
66,ext,2021-08-06,SAS @ MEM,22,11,16,28,14,21,31,16
67,ext,2021-08-04,SAS @ UTB,18,8,13,15,24,13,20,21
