,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,ext,2022-02-10,TOR @ HOU,37,36,31,38,41,23,28,28
2,ext,2022-02-09,TOR @ OKC,34,25,28,30,22,29,21,26
3,ext,2022-02-07,TOR @ CHA,35,21,24,36,21,20,34,26
4,home,2022-02-04,TOR vs. ATL,39,21,36,29,28,34,27,28
5,home,2022-02-03,TOR vs. CHI,26,28,33,27,24,26,31,33
6,home,2022-02-01,TOR vs. MIA,22,28,30,30,32,30,21,23
7,ext,2022-01-31,TOR @ ATL,25,23,32,26,24,33,15,28
8,ext,2022-01-29,TOR @ MIA,28,31,26,15,27,26,22,25
9,ext,2022-01-26,TOR @ CHI,27,23,32,23,31,37,24,20
10,home,2022-01-25,TOR vs. CHA,39,37,29,20,27,34,25,29
11,home,2022-01-23,TOR vs. POR,15,19,33,38,33,31,22,28
12,ext,2022-01-21,TOR @ WAS,20,35,36,18,30,24,23,28
13,ext,2022-01-19,TOR @ DAL,31,25,22,22,27,28,28,19
14,ext,2022-01-17,TOR @ MIA,30,21,24,24,27,31,22,24
15,ext,2022-01-15,TOR @ MIL,20,26,27,30,29,20,20,27
16,ext,2022-01-14,TOR @ DET,27,16,23,21,31,25,27,20
17,home,2022-01-11,TOR vs. PHX,31,17,23,24,23,23,23,30
18,home,2022-01-09,TOR vs. NOP,27,22,30,26,26,22,29,24
19,home,2022-01-07,TOR vs. UTA,25,24,45,28,40,25,30,16
20,ext,2022-01-05,TOR @ MIL,35,33,24,25,42,35,11,23
21,home,2022-01-04,TOR vs. SAS,30,38,29,32,29,24,28,23
22,home,2022-01-02,TOR vs. NYK,30,26,40,24,27,18,29,31
23,home,2021-12-31,TOR vs. LAC,32,24,26,34,29,33,25,21
24,home,2021-12-28,TOR vs. PHI,24,24,33,28,27,28,30,29
25,ext,2021-12-26,TOR @ CLE,34,21,23,21,35,37,46,26
26,home,2021-12-18,TOR vs. GSW,31,32,33,23,18,24,27,31
27,ext,2021-12-14,TOR @ BKN,32,24,47,20,33,33,25,29
28,home,2021-12-13,TOR vs. SAC,30,40,23,31,22,23,24,32
29,home,2021-12-10,TOR vs. NYK,31,19,19,21,14,28,23,22
30,home,2021-12-08,TOR vs. OKC,36,28,12,33,26,28,33,23
31,home,2021-12-05,TOR vs. WAS,23,40,21,18,12,30,26,22
32,home,2021-12-02,TOR vs. MIL,26,22,25,24,23,17,28,27
33,home,2021-11-30,TOR vs. MEM,18,21,28,26,27,23,20,28
34,home,2021-11-28,TOR vs. BOS,26,25,25,21,27,27,26,29
35,ext,2021-11-26,TOR @ IND,35,22,24,16,31,35,26,22
36,ext,2021-11-24,TOR @ MEM,25,37,32,35,32,39,21,21
37,ext,2021-11-21,TOR @ GSW,24,23,30,27,36,25,31,27
38,ext,2021-11-19,TOR @ SAC,30,33,35,12,27,18,21,23
39,ext,2021-11-18,TOR @ UTA,27,36,17,23,32,29,31,27
40,ext,2021-11-15,TOR @ POR,33,27,25,28,24,37,24,33
41,home,2021-11-13,TOR vs. DET,34,30,31,26,31,34,28,34
42,ext,2021-11-11,TOR @ PHI,27,25,29,34,30,27,21,31
43,ext,2021-11-10,TOR @ BOS,25,21,22,20,33,29,18,24
44,home,2021-11-07,TOR vs. BKN,26,34,17,26,29,24,35,28
45,home,2021-11-05,TOR vs. CLE,29,28,23,21,28,23,26,28
46,ext,2021-11-03,TOR @ WAS,29,30,27,23,29,19,29,23
47,ext,2021-11-01,TOR @ NYK,26,27,38,22,34,23,22,25
48,ext,2021-10-30,TOR @ IND,22,24,21,30,25,22,19,28
49,home,2021-10-29,TOR vs. ORL,23,31,23,33,20,31,27,31
50,home,2021-10-27,TOR vs. IND,29,28,30,31,24,24,23,29
51,home,2021-10-25,TOR vs. CHI,24,27,29,28,24,37,31,19
52,home,2021-10-23,TOR vs. DAL,25,26,21,23,18,27,29,29
53,ext,2021-10-22,TOR @ BOS,23,28,33,31,23,24,17,19
54,home,2021-10-20,TOR vs. WAS,18,19,22,27,26,31,24,17
55,ext,2021-10-12,TOR @ WAS,26,32,23,32,30,28,31,19
56,home,2021-10-11,TOR vs. HOU,28,29,31,22,19,19,26,28
57,ext,2021-10-09,TOR @ BOS,16,43,27,25,31,26,28,28
58,ext,2021-10-07,TOR @ PHI,22,33,25,33,27,44,27,27
59,home,2021-10-04,TOR vs. PHI,28,41,33,23,25,29,23,30
60,home,2021-08-17,TOR vs. BKN,22,8,25,31,17,8,22,25
61,home,2021-08-14,TOR vs. CHA,13,15,23,29,8,26,23,12
62,home,2021-08-12,TOR vs. HOU,23,27,18,24,19,16,14,27
63,ext,2021-08-11,TOR @ GSW,19,16,21,28,17,27,22,24
