,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,home,2022-02-09,UTA vs. GSW,30,25,24,32,31,18,18,20
2,home,2022-02-07,UTA vs. NYK,28,31,23,31,28,29,29,18
3,home,2022-02-04,UTA vs. BKN,33,35,37,20,24,23,26,29
4,home,2022-02-02,UTA vs. DEN,28,32,22,26,30,31,18,25
5,ext,2022-01-30,UTA @ MIN,20,28,27,31,26,26,40,34
6,ext,2022-01-28,UTA @ MEM,30,21,27,31,31,28,29,31
7,home,2022-01-26,UTA vs. PHX,18,30,16,33,39,11,24,31
8,ext,2022-01-24,UTA @ PHX,21,35,31,22,31,27,27,30
9,ext,2022-01-23,UTA @ GSW,29,25,21,17,33,22,28,11
10,home,2022-01-21,UTA vs. DET,27,33,27,24,26,26,30,19
11,home,2022-01-19,UTA vs. HOU,27,35,19,30,36,21,26,36
12,ext,2022-01-17,UTA @ LAL,25,21,32,17,24,28,20,29
13,ext,2022-01-16,UTA @ DEN,37,31,23,34,33,25,30,14
14,home,2022-01-12,UTA vs. CLE,24,28,16,23,27,31,30,23
15,ext,2022-01-10,UTA @ DET,35,26,23,32,21,27,40,38
16,ext,2022-01-08,UTA @ IND,27,25,34,27,33,28,29,35
17,ext,2022-01-07,UTA @ TOR,40,25,30,16,25,24,45,28
18,ext,2022-01-05,UTA @ DEN,26,31,31,27,26,30,22,31
19,ext,2022-01-03,UTA @ NOP,23,29,30,33,24,25,30,27
20,home,2022-01-01,UTA vs. GSW,24,26,41,25,29,35,22,37
21,home,2021-12-31,UTA vs. MIN,29,34,23,34,22,28,37,21
22,ext,2021-12-29,UTA @ POR,36,33,27,24,27,32,26,23
23,ext,2021-12-27,UTA @ SAS,34,19,29,28,27,16,27,34
24,home,2021-12-25,UTA vs. DAL,25,40,25,30,34,29,27,26
25,home,2021-12-23,UTA vs. MIN,35,34,34,27,27,33,30,26
26,home,2021-12-20,UTA vs. CHA,35,19,26,32,16,25,27,34
27,home,2021-12-18,UTA vs. WAS,33,20,27,23,27,29,28,25
28,home,2021-12-17,UTA vs. SAS,37,36,23,30,36,23,41,28
29,home,2021-12-15,UTA vs. LAC,35,30,28,31,31,28,22,22
30,ext,2021-12-11,UTA @ WAS,28,22,31,42,24,27,18,29
31,ext,2021-12-09,UTA @ PHI,27,34,27,30,32,22,22,20
32,ext,2021-12-08,UTA @ MIN,34,26,35,41,33,26,22,23
33,ext,2021-12-05,UTA @ CLE,32,28,31,18,29,26,27,26
34,home,2021-12-03,UTA vs. BOS,38,21,41,37,25,31,41,33
35,home,2021-11-29,UTA vs. POR,21,32,41,35,23,26,35,26
36,home,2021-11-27,UTA vs. NOP,37,27,32,31,23,22,22,38
37,home,2021-11-26,UTA vs. NOP,28,17,30,22,23,23,29,26
38,ext,2021-11-24,UTA @ OKC,21,28,32,29,25,27,28,24
39,home,2021-11-22,UTA vs. MEM,30,30,36,22,27,27,38,27
40,ext,2021-11-20,UTA @ SAC,29,25,30,39,28,21,31,25
41,home,2021-11-18,UTA vs. TOR,32,29,31,27,27,36,17,23
42,home,2021-11-16,UTA vs. PHI,30,33,34,23,28,19,19,19
43,home,2021-11-13,UTA vs. MIA,24,26,21,36,27,31,37,16
44,home,2021-11-11,UTA vs. IND,30,21,26,23,32,28,25,26
45,home,2021-11-09,UTA vs. ATL,30,32,33,15,28,22,30,18
46,ext,2021-11-07,UTA @ ORL,15,37,33,15,28,22,25,32
47,ext,2021-11-06,UTA @ MIA,24,28,26,37,27,28,32,31
48,ext,2021-11-04,UTA @ ATL,15,27,36,41,16,24,34,24
49,home,2021-11-02,UTA vs. SAC,33,25,32,29,29,30,28,26
50,ext,2021-10-31,UTA @ MIL,30,27,27,23,23,25,21,26
51,ext,2021-10-30,UTA @ CHI,24,33,15,27,25,29,25,28
52,ext,2021-10-28,UTA @ HOU,32,29,31,30,18,22,32,19
53,home,2021-10-26,UTA vs. DEN,35,31,25,31,31,33,26,20
54,ext,2021-10-22,UTA @ SAC,24,22,35,29,26,26,28,21
55,home,2021-10-20,UTA vs. OKC,27,27,29,24,18,24,21,25
56,home,2021-10-13,UTA vs. MIL,35,28,32,29,30,31,32,27
57,home,2021-10-11,UTA vs. NOP,28,35,32,32,22,24,19,31
58,ext,2021-10-06,UTA @ DAL,31,25,18,27,22,39,31,19
59,ext,2021-10-04,UTA @ SAS,18,20,23,24,24,25,38,24
60,ext,2021-08-17,UTA @ PHI,24,25,20,29,25,21,26,31
61,ext,2021-08-15,UTA @ LAC,22,21,23,24,22,30,21,21
62,home,2021-08-13,UTA vs. MIA,13,19,27,25,17,16,20,12
63,ext,2021-08-11,UTA @ DAL,Not Found,15,26,16,Not Found,21,16,21
