,0,1,2,3,4,5,6,7,8,9,10
0,Where?,date,matchup,Q1,Q2,Q3,Q4,Q1 adversary,Q2 adversary,Q3 adversary,Q4 adversary
1,home,2022-02-10,WAS vs. BKN,24,31,31,27,27,32,19,34
2,home,2022-02-07,WAS vs. MIA,24,29,17,30,39,21,31,30
3,home,2022-02-05,WAS vs. PHX,21,11,19,29,33,26,26,10
4,ext,2022-02-02,WAS @ PHI,29,30,22,25,28,26,25,24
5,ext,2022-02-01,WAS @ MIL,20,20,33,25,24,29,25,34
6,ext,2022-01-29,WAS @ MEM,15,26,31,23,30,33,24,28
7,home,2022-01-25,WAS vs. LAC,32,34,27,22,23,13,40,40
8,home,2022-01-23,WAS vs. BOS,25,20,24,18,31,29,31,25
9,home,2022-01-21,WAS vs. TOR,30,24,23,28,20,35,36,18
10,home,2022-01-19,WAS vs. BKN,28,34,24,32,33,41,23,22
11,home,2022-01-17,WAS vs. PHI,38,23,30,26,29,26,28,15
12,home,2022-01-15,WAS vs. POR,24,33,23,30,29,39,26,21
13,home,2022-01-12,WAS vs. ORL,33,19,32,28,16,27,29,34
14,home,2022-01-11,WAS vs. OKC,30,28,36,28,31,30,32,25
15,ext,2022-01-09,WAS @ ORL,20,22,25,35,26,23,22,29
16,ext,2022-01-07,WAS @ CHI,32,34,29,27,37,36,34,25
17,home,2022-01-05,WAS vs. HOU,26,29,28,28,29,25,32,28
18,home,2022-01-03,WAS vs. CHA,38,18,28,40,25,39,26,31
19,home,2022-01-01,WAS vs. CHI,32,32,24,31,25,27,34,34
20,home,2021-12-30,WAS vs. CLE,31,27,33,19,30,21,21,21
21,ext,2021-12-28,WAS @ MIA,24,27,22,39,38,27,26,28
22,home,2021-12-26,WAS vs. PHI,31,24,17,24,25,38,29,25
23,ext,2021-12-23,WAS @ NYK,31,26,33,34,27,37,22,31
24,ext,2021-12-18,WAS @ UTA,27,29,28,25,33,20,27,23
25,ext,2021-12-16,WAS @ PHX,23,27,21,27,31,31,27,29
26,ext,2021-12-15,WAS @ SAC,32,25,32,16,27,29,28,35
27,ext,2021-12-13,WAS @ DEN,22,19,29,37,29,30,32,22
28,home,2021-12-11,WAS vs. UTA,24,27,18,29,28,22,31,42
29,ext,2021-12-08,WAS @ DET,27,25,37,17,29,31,26,20
30,ext,2021-12-06,WAS @ IND,18,29,31,32,28,30,30,28
31,ext,2021-12-05,WAS @ TOR,12,30,26,22,23,40,21,18
32,home,2021-12-03,WAS vs. CLE,29,17,26,29,34,32,34,17
33,home,2021-12-01,WAS vs. MIN,24,29,38,24,24,33,31,19
34,ext,2021-11-29,WAS @ SAS,20,31,27,21,20,25,39,32
35,ext,2021-11-27,WAS @ DAL,41,20,30,29,36,33,24,21
36,ext,2021-11-26,WAS @ OKC,25,31,20,25,27,27,14,31
37,ext,2021-11-24,WAS @ NOP,27,23,23,29,36,36,23,32
38,home,2021-11-22,WAS vs. CHA,27,23,23,30,26,33,24,26
39,home,2021-11-20,WAS vs. MIA,26,15,30,32,25,18,32,25
40,ext,2021-11-18,WAS @ MIA,19,21,30,27,21,26,36,29
41,ext,2021-11-17,WAS @ CHA,29,22,14,22,24,21,30,22
42,home,2021-11-15,WAS vs. NOP,25,16,32,32,25,33,22,20
43,ext,2021-11-13,WAS @ ORL,28,22,32,22,18,19,22,35
44,ext,2021-11-10,WAS @ CLE,24,20,24,29,22,30,25,20
45,home,2021-11-07,WAS vs. MIL,26,23,33,19,24,28,19,23
46,home,2021-11-05,WAS vs. MEM,35,25,31,24,31,16,21,19
47,home,2021-11-03,WAS vs. TOR,29,19,29,23,29,30,27,23
48,ext,2021-11-01,WAS @ ATL,23,37,17,34,34,29,21,34
49,home,2021-10-30,WAS vs. BOS,25,28,26,27,20,27,26,30
50,home,2021-10-28,WAS vs. ATL,33,31,36,22,32,23,31,25
51,ext,2021-10-27,WAS @ BOS,24,38,25,29,19,33,34,21
52,ext,2021-10-25,WAS @ BKN,20,22,22,26,38,21,23,22
53,home,2021-10-22,WAS vs. IND,32,41,33,17,36,37,23,27
54,ext,2021-10-20,WAS @ TOR,26,31,24,17,18,19,22,27
55,ext,2021-10-15,WAS @ NYK,26,34,30,23,15,34,26,40
56,home,2021-10-12,WAS vs. TOR,30,28,31,19,26,32,23,32
57,home,2021-10-09,WAS vs. NYK,30,25,21,23,35,24,36,22
58,ext,2021-10-05,WAS @ HOU,23,37,31,30,30,27,34,34
59,home,2021-08-16,WAS vs. IND,5,12,15,22,20,14,21,19
60,home,2021-08-15,WAS vs. MIL,18,26,17,24,25,13,21,24
61,ext,2021-08-12,WAS @ BKN,15,19,16,19,18,18,15,23
62,home,2021-08-10,WAS vs. SAC,21,18,20,18,21,23,29,16
